"","site","treatment","rep","nh4.mgL","nh4.normalized","no3.mgL","no3.normalized","totalN.mgL","totalN.normalized"
"1","BH1","AS","1",5.21738782565192,4.34782318804327,20.427004552591,17.0225037938258,25.6443923782429,21.3703269818691
"2","BH1","AS","2",6.39398296593379,5.32831913827816,22.5873780225175,18.8228150187646,28.9813609884513,24.1511341570427
"3","BH1","AS","3",13.068251223225,10.8902093526875,48.583872110633,40.4865600921942,61.652123333858,51.3767694448817
"4","BH1","AS","4",3.89598097579691,3.24665081316409,18.4106559806596,15.3422133172163,22.3066369564565,18.5888641303804
"5","BH1","AS","5",7.45679747726532,6.2139978977211,16.6103447557208,13.8419539631007,24.0671422329862,20.0559518608218
"6","BH1","C","1",13.5207878156411,11.2673231797009,14.3599557245474,11.9666297704562,27.8807435401885,23.2339529501571
"7","BH1","C","2",1.5660640057003,1.30505333808358,1.84779271122309,1.53982725935258,3.41385671692339,2.84488059743616
"8","BH1","C","3",9.64966050794448,8.0413837566204,1.34370556824024,1.1197546402002,10.9933660761847,9.1611383968206
"9","BH1","C","4",7.27836876368411,6.06530730307009,19.5988613891192,16.3323844909326,26.8772301528033,22.3976917940027
"10","BH1","NO3","1",4.02786306844389,3.35655255703657,28.4383895035684,23.6986579196404,32.4662525720123,27.0552104766769
"11","BH1","NO3","2",5.52252678510964,4.60210565425803,29.7886229222725,24.8238524352271,35.3111497073821,29.4259580894851
"12","BH1","NO3","3",8.2118871057539,6.84323925479491,8.92301582523238,7.43584652102698,17.1349029309863,14.2790857758219
"13","BH1","NO3","4",1.20403473176741,1.00336227647285,17.2764599089482,14.3970499241235,18.4804946407156,15.4004122005963
"14","BH1","NO3","5",12.9053380499552,10.7544483749626,7.57278240652832,6.31065200544026,20.4781204564835,17.0651003804029
"15","BH1","S","2",5.33116845460226,4.44264037883522,2.08183317046513,1.73486097538761,7.41300162506739,6.17750135422282
"16","BH1","S","3",2.66508144442511,2.22090120368759,0.479556180269641,0.399630150224701,3.14463762469475,2.6205313539123
"17","BH1","S","5",9.61087165716596,8.00905971430497,2.62192653794675,2.1849387816223,12.2327981951127,10.1939984959273
"18","CC1","AS","1",3.02924807842488,2.5243733986874,21.1782616226557,17.6485513522131,24.2075097010806,20.1729247509005
"19","CC1","AS","2",12.6942358352454,10.5785298627045,42.2627110086339,35.2189258405283,54.9569468438793,45.7974557032327
"20","CC1","AS","3",10.3785068045169,8.64875567043077,26.1505187909184,21.792098992432,36.5290255954353,30.4408546628628
"21","CC1","AS","4",0.708429533343184,0.590357944452654,16.9683017206075,14.1402514338395,17.6767312539506,14.7306093782922
"22","CC1","AS","5",9.13412054514746,7.61176712095622,19.1165940163028,15.9304950135857,28.2507145614503,23.5422621345419
