"site","treatment","n.trt","s.trt","tag.id","nrcs.code","myc.status","soil.no3n.norm","soil.nh4n.norm","soil.n.norm","mineral.pH","leaf.n","marea","narea","leaf.temp","a400","gsw","vcmax25","jmax25","jmax.vcmax","chi","pnue","vcmax.chi","narea.chi","pnue.chi","narea.gs","vcmax.gs","pnue.gs"
"BH1","AS","n.added","s.added","1509","FAGR","EcM",21.10320924,6.005400078,27.10860931,3.85,2.58,79.12686603,2.041473144,27.91137122,6.734884676,0.061942905,71.78459805,142.7020261,1.987919832,0.703681906,46.18644422,102.0128519,2.901130648,65.635401203566,32.9573361791798,1158.88329825668,745.629289100987
"BH1","AS","n.added","s.added","1514","ACSA3","AM",21.10320924,6.005400078,27.10860931,3.85,3.16,43.23749962,1.366304988,28.19870199,6.622222365,0.060790098,66.03952934,114.9438963,1.74053173,0.751094577,67.85535728,87.92438573,1.819085145,90.3419613958949,22.4757819604107,1086.35339492297,1116.22385079886
"BH1","AS","n.added","s.added","1520","ACSA3","AM",21.10320924,6.005400078,27.10860931,3.85,2.39,66.63215118,1.592508413,28.55825663,7.031098443,0.066607047,75.86467735,120.2501189,1.585060704,0.784622348,61.81152789,96.68941691,2.029649572,78.778699137945,23.909007901221,1138.98875219615,928.002826637848
"BH1","AS","n.added","s.added","1534","ACSA3","AM",21.10320924,6.005400078,27.10860931,3.85,2.55,69.93581658,1.783363323,29.43366129,8.701756411,0.099110331,83.6824315,156.9210562,1.875197139,0.757609972,68.31170531,110.455821,2.353933274,90.1673787762656,17.993717758848,844.336111641076,689.249088573824
"BH1","AS","n.added","s.added","1546","ACSA3","AM",21.10320924,6.005400078,27.10860931,3.85,2.11,40.04958252,0.845046191,26.1829956,1.907035325,0.020722893,36.12457751,69.45986061,1.922786795,0.745976656,31.59412447,48.42588199,1.132805141,42.3526985943646,40.7783889537045,1743.22077086438,1524.60008696662
"BH1","AS","n.added","s.added","1549","ACSA3","AM",21.10320924,6.005400078,27.10860931,3.85,2.55,36.24916722,0.924353764,29.15726427,5.192407619,0.077661697,38.55150822,78.38572119,2.033272492,0.785554385,78.64273343,49.07554326,1.176689713,100.111125253282,11.9023122041745,496.403113879935,1012.63217864013
"BH1","AS","n.added","s.added","1555","QURU","EcM",21.10320924,6.005400078,27.10860931,3.85,2.8,72.37530801,2.026508624,26.74037348,1.18985246,0.01658616,112.9477001,168.0588195,1.487934853,0.719939745,8.220016555,156.884935,2.814830879,11.4176451739027,122.180699088879,6809.75585066103,495.594914977306
"BH1","AS","n.added","s.added","1558","ACSA3","AM",21.10320924,6.005400078,27.10860931,3.85,2.69,41.30488305,1.111101354,27.70810381,4.09757403,0.038821823,55.30746406,97.40006519,1.76106547,0.828469658,51.62988615,66.75858742,1.341149122,62.3195860602055,28.6205352592535,1424.6488131173,1329.91915784068
"BH1","AS","n.added","s.added","unkbirch",NA,NA,21.10320924,6.005400078,27.10860931,3.85,3.19,29.61112518,0.944594893,27.91113226,4.957168978,0.111791674,32.92171926,56.32538095,1.710888198,0.868659821,73.4710363,37.89943828,1.087416352,84.5797566824493,8.44959968127859,294.491692288283,657.213848501812
"BH1","C","no.n","no.s","12","QURU","EcM",7.73964904,6.669766894,14.40941593,4.435,2.58,99.71780173,2.572719285,26.79312978,11.01506873,0.174975245,54.17078943,89.5315416,1.652764203,0.664247273,59.9408428,81.55214427,3.873134885,90.238748785951,14.7033329486122,309.591162052666,342.567560342607
