"","variable","n.trt","s.trt","emmean","SE","df","lower.CL","upper.CL",".group"
"1","soil.n","low.nit","high.sulf",4.37373318574017,4.46982468148024,2.05631637678371,-14.3623423769418,23.1098087484221,"B"
"2","soil.n","low.nit","low.sulf",11.7835659791126,4.47156311176176,2.05951254031778,-6.93294855431181,30.500080512537,"A"
"3","soil.n","high.nit","low.sulf",12.5469316422628,4.47750312666449,2.07046591352045,-6.10333093091502,31.1971942154405,"A"
"4","soil.n","high.nit","high.sulf",20.7548687292911,4.46827618401756,2.05347076590575,2.00128428851988,39.5084531700623,"C"
"5","soil.pH","high.nit","high.sulf",4.12035579420444,0.173506465765833,2.10262464402779,3.40767048673234,4.83304110167655,"C"
"6","soil.pH","low.nit","high.sulf",4.14043105119892,0.173619851369385,2.10811726794515,3.42894447810341,4.85191762429444,"C"
"7","soil.pH","high.nit","low.sulf",4.63416337648431,0.174181625779898,2.13547267916645,3.92848740553823,5.3398393474304,"B"
"8","soil.pH","low.nit","low.sulf",4.77734228384259,0.173747126963751,2.114288144775,4.0671889848581,5.48749558282709,"A"
