obs,id,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,BH1_C_12,1562851716,0,20190711 09:28:36,9:28:36,1562851708,0.00223328,11.01506873,382.1943674,270.9553246,25.7664611,36.34472332,0.174975245,2.317407921,0.167952984,0.105578054,316.966261,27.29761918,26.31950323,3.438581518,66.73594297,2.211665849,3.314054991,1.226915669,-98.4876341,-77.88516213,-7.181439199,133.4120255,0.018645575,-0.418139776,4.570374295,0,0,1,0,50406,1999.98871,1685.990535,0.843000026,0.188000024,9,0.5,0: Broadleaf,1562851708,382.1943871,399.9966129,23.25746774,19.9855871,600.0235161,94.89488387,0.199985161,25.69610323,26.31950323,999.9,10000.11645,726.3403548,15.96492903,1999.98871,0.899999774,0.100000248,27,41744.35484,0,--:--:--,0,2.702,0.342,0,0,0,0,11.13015805,-1.300538162,0.151717094,-1,399.9976905,0.06585852,0.029690858,1,382.0907619,1.935305081,0.196760286,0,19.98180952,0.071385463,0.007237726,1,23.25615238,0.022590066,0.002344724,1,3,4,4-Mar,100,100,2.702,0.342,3,621.679,345.523,25.2835,25.9494,30.0003,25.8605,25.8273,19.6952,-30,-30,-999.9,400,0,103.417,104.831
2,BH1_C_12,1562851781,64.5,20190711 09:29:40,9:29:40,1562851773,0.002155153,7.22290332,288.2307613,210.4509329,20.0123122,27.40859306,0.165029178,2.317386806,0.158767138,0.099772283,316.9654924,27.42798319,26.43290645,3.461668184,66.25120131,2.209343399,3.334797491,1.252324786,-95.04225375,-78.90367995,-7.283401723,135.736157,0.01864531,-0.418133829,4.570321137,0,0,1,0,50347,1999.984516,1685.986851,0.842999952,0.187999979,9,0.5,0: Broadleaf,1562851773,288.2307742,299.9964839,23.23361613,20.07610645,600.0212903,94.89255161,0.199980968,25.80134839,26.43290645,999.9,10000.22,726.7042581,85.84881613,1999.984516,0.900000097,0.099999852,27,41744.26452,0,--:--:--,0,2.702,0.342,0,0,0,0,7.123820161,1.18410101,0.154584824,-1,299.9915952,0.143978608,0.027631124,1,288.289381,-0.943450288,0.108429251,1,20.07150714,0.083268779,0.00842178,1,23.23760238,-0.08288761,0.008628124,1,4,4,4-Apr,100,100,2.702,0.342,3,621.665,345.01,25.3337,25.9771,30.0001,25.8912,25.8595,15.7444,-30,-30,-999.9,300,0,103.412,104.824
3,BH1_C_12,1562851845,128.5,20190711 09:30:44,9:30:44,1562851837,0.001964888,3.834817713,193.663477,146.6385757,13.9444061,18.4161784,0.146098334,2.316872624,0.14116641,0.08865825,316.9665181,27.53142719,26.50410645,3.476232169,65.57137872,2.192075955,3.343037767,1.284156214,-86.65157505,-82.57698016,-7.628482868,140.1094801,0.018638853,-0.417989014,4.569026683,0,0,1,0,50391,1999.990323,1685.991863,0.843000011,0.188000028,9,0.5,0: Broadleaf,1562851837,193.6634839,199.9862581,23.05174516,20.17246452,600.0230645,94.89371935,0.199990032,25.843,26.50410645,999.9,9996.633548,727.1225806,150.4075484,1999.990323,0.899999645,0.100000355,27,41744.35161,0,--:--:--,0,2.702,0.342,0,0,0,0,3.728325403,1.192852774,0.156366224,-1,199.9786905,0.112804473,0.015804593,1,193.7288095,-0.976374686,0.115156671,1,20.16751429,0.095953326,0.009785766,1,23.06363333,-0.221313022,0.022378824,1,4,4,4-Apr,100,100,2.702,0.342,3,621.518,344.754,25.3797,26.002,30.0003,25.9206,25.8897,11.6259,-30,-30,-999.9,200,0,103.405,104.822
4,BH1_C_12,1562851912,195.5,20190711 09:31:51,9:31:51,1562851904,0.001726051,0.562886964,98.87966029,89.28649241,8.490699252,9.402961579,0.12403969,2.317478516,0.120465922,0.075603713,316.9662479,27.64231489,26.57053548,3.489868465,64.71620522,2.167867897,3.349806883,1.322000569,-76.11883145,-86.63171575,-8.005004388,146.2106963,0.018646462,-0.41815966,4.570552029,0,0,1,0,50393,1999.989032,1685.990758,0.843000002,0.187999991,9,0.5,0: Broadleaf,1562851904,98.87966129,99.97997419,22.79686452,20.26686774,600.0133548,94.89501613,0.199986742,25.87714839,26.57053548,999.9,10000.57806,727.727871,92.21360645,1999.989032,0.900000129,0.099999877,27,41744.36129,0,--:--:--,0,2.702,0.342,0,0,0,0,0.479607206,0.964675736,0.122617037,-1,99.97724048,0.098638036,0.018080825,1,98.93471429,-0.858968965,0.096139729,1,20.26224286,0.087466494,0.0088575,1,22.80826667,-0.206560246,0.020890425,1,4,4,4-Apr,100,100,2.702,0.342,3,621.217,344.211,25.4113,26.0218,30.0001,25.9452,25.9147,7.35836,-30,-30,-999.9,100,0,103.404,104.821
5,BH1_C_12,1562851975,258.5,20190711 09:32:54,9:32:54,1562851967,0.001535265,-0.950957232,51.28941783,64.32589519,6.116742995,4.877105655,0.108165543,2.318189653,0.10543794,0.066138048,316.9684287,27.69305858,26.58565484,3.492978625,64.20664371,2.149469172,3.347736384,1.343509453,-67.70518566,-89.85250133,-8.300262317,151.1104794,0.018655395,-0.418359988,4.572342546,0,0,1,0,50297,2000.002903,1686.002402,0.842999977,0.187999986,9,0.5,0: Broadleaf,1562851967,51.28941613,49.98113548,22.6046,20.35382903,600.0187742,94.88991935,0.199981484,25.86670968,26.58565484,999.9,10005.90645,728.8204839,135.4994194,2000.002903,0.900000097,0.099999881,27,41744.65484,0,--:--:--,0,2.702,0.342,0,0,0,0,-1.034410794,0.969545197,0.125498432,-1,49.97964286,0.045343489,0.016301623,1,51.3434881,-0.873845231,0.095132622,1,20.3492881,0.084159468,0.008509552,1,22.61232857,-0.145365205,0.014722162,1,4,4,4-Apr,100,100,2.702,0.342,3,621.424,343.844,25.4257,26.0305,30,25.9596,25.9287,5.21984,-30,-30,-999.9,50,0,103.409,104.828
6,BH1_C_12,1562852055,338.5,20190711 09:34:14,9:34:14,1562852047,0.001347867,8.630289573,386.2725652,228.4638137,21.724626,36.73066154,0.093458786,2.316718183,0.091413661,0.057313557,316.9676729,27.76256749,26.59196774,3.494277951,63.70575854,2.133696176,3.349298752,1.360581775,-59.44091392,-89.60006114,-8.282789007,159.6439088,0.018636913,-0.417945522,4.568637903,0,0,1,0,50348,2000,1685.999696,0.842999848,0.18799984,9,0.5,0: Broadleaf,1562852047,386.2725806,399.9985484,22.4387,20.46232903,600.0189032,94.89000323,0.200005355,25.8745871,26.59196774,999.9,9995.984839,729.5964516,43.52460645,2000,0.900001613,0.099998268,27,41744.59355,0,--:--:--,0,2.702,0.342,0,0,0,0,8.695445503,-0.781543219,0.098610391,-1,399.9957143,0.026156713,0.036920949,1,386.2205476,0.995520622,0.101874153,1,20.4578119,0.086483429,0.008774292,1,22.44403095,-0.09812657,0.009934416,1,4,4,4-Apr,100,100,2.702,0.342,3,621.288,344.422,25.4291,26.0305,30.0002,25.9664,25.9374,19.7244,-30,-30,-999.9,400,0,103.408,104.83
7,BH1_C_12,1562852115,399,20190711 09:35:15,9:35:15,1562852107,0.001224355,8.053627418,387.1971469,222.3254674,21.13942225,36.81595312,0.08317169,2.317842528,0.08154856,0.051111044,316.9672337,27.86207008,26.67183226,3.51075219,63.23400715,2.125500515,3.361325038,1.385251675,-53.99407744,-92.05969855,-8.512022461,162.4014352,0.018651034,-0.418262197,4.571468517,0,0,1,0,50422,1999.994839,1685.995661,0.843000006,0.188000029,9,0.5,0: Broadleaf,1562852107,387.1971613,399.9883226,22.35410645,20.55868065,600.0178387,94.88323871,0.199985452,25.93511613,26.67183226,999.9,10004.27194,729.7674516,32.85819355,1999.994839,0.899999613,0.100000381,27,41744.44839,0,--:--:--,0,2.702,0.342,0,0,0,0,8.096938366,-0.545288267,0.06546946,-1,399.9873571,0.116071631,0.024338703,1,387.1564048,0.973117251,0.100012156,1,20.55437381,0.097988494,0.009925534,1,22.35811667,-0.086444534,0.00876986,1,4,4,4-Apr,100,100,2.702,0.342,3,620.435,344.103,25.451,26.0398,30.0002,25.9787,25.9492,19.7243,-30,-30,-999.9,400,0,103.407,104.828
8,BH1_C_12,1562852236,519.5,20190711 09:37:15,9:37:15,1562852228,0.00101208,11.25237719,582.2259476,297.738709,28.30777901,55.35566239,0.06668926,2.317144731,0.06564103,0.04111845,316.967609,28.028068,26.8037871,3.538120084,62.5847279,2.115788654,3.380678842,1.422331429,-44.6327162,-96.39699679,-8.925977843,167.0119182,0.01864227,-0.418065648,4.569711699,0,0,1,0,50280,1999.997097,1685.997613,0.84300003,0.188000034,9,0.5,0: Broadleaf,1562852228,582.2259677,599.9878387,22.25367742,20.76939032,600.0197097,94.87590323,0.200007806,26.03212903,26.8037871,999.9,10000.34387,730.0535161,21.94216452,1999.997097,0.899999645,0.100000377,27,41744.50645,0,--:--:--,0,2.702,0.342,0,0,0,0,11.31305324,-0.681298916,0.083153223,-1,599.9929048,-0.089321773,0.029214975,1,582.1660714,1.128851795,0.114710068,0,20.7636,0.106750506,0.01079195,1,22.25420476,-0.013366178,0.001571465,1,3,4,4-Mar,100,100,2.702,0.342,3,621.101,344.017,25.5154,26.081,30,26.0161,25.9873,27.2411,-30,-30,-999.9,600,0,103.404,104.825
9,BH1_C_12,1562852332,615.5,20190711 09:38:51,9:38:51,1562852324,0.000897283,13.59207014,778.5514272,383.2533588,36.43697973,74.01908405,0.057801858,2.31739832,0.0570127,0.035702943,316.966689,28.17979802,26.94610323,3.567845536,62.17515731,2.116289509,3.403754168,1.451556028,-39.57019798,-99.81586968,-9.253461411,168.3271599,0.018645455,-0.418137072,4.570350126,0,0,1,0,50183,1999.992581,1685.993561,0.842999908,0.18799994,9,0.5,0: Broadleaf,1562852324,778.5514516,799.9868387,22.25966774,20.94373871,600.0165161,94.87283226,0.199993323,26.14716452,26.94610323,999.9,10002.37613,730.4624516,28.40272258,1999.992581,0.900000452,0.099999458,27,41744.42581,0,--:--:--,0,2.702,0.342,0,0,0,0,13.66050706,-0.794682805,0.096282071,-1,800.0017619,-0.212287497,0.044542548,1,778.5009762,0.976890041,0.10067167,1,20.93830476,0.103010777,0.010420994,1,22.25913333,0.013177538,0.001539429,1,4,4,4-Apr,100,100,2.702,0.342,3,621.087,343.901,25.5953,26.1325,30.0004,26.0604,26.0326,34.3335,-30,-30,-999.9,800,0,103.392,104.811
10,BH1_C_12,1562852446,729.5,20190711 09:40:45,9:40:45,1562852438,0.000790781,15.09447565,976.1974246,470.3256784,44.71584501,92.81120455,0.050059453,2.317118684,0.049466307,0.030969148,316.9670918,28.32294485,27.06764839,3.593404941,61.8617134,2.119186174,3.425682959,1.474218767,-34.87343201,-101.409658,-9.413193469,171.2708084,0.018641943,-0.418058312,4.569646124,0,0,1,0,50296,1999.994516,1685.995306,0.842999964,0.187999985,9,0.5,0: Broadleaf,1562852438,976.1974516,999.9963871,22.28980968,21.1301129,600.0180323,94.87423226,0.199983484,26.25585484,27.06764839,999.9,10000.34452,730.9992903,17.79681613,1999.994516,0.900000065,0.099999897,27.01614194,41744.48387,0,--:--:--,0,2.702,0.342,0,0,0,0,15.14386348,-0.604341789,0.081774762,-1,999.9974762,-0.148675148,0.046498458,1,976.1440952,0.947728709,0.105788605,1,21.12451667,0.100604165,0.010175576,1,22.28830952,0.024991816,0.002660631,1,4,4,4-Apr,100,100,2.702,0.342,3,620.911,343.958,25.6822,26.1986,30.0003,26.1213,26.0926,41.1081,-30,-30,-999.9,1000,0,103.383,104.803
