obs,id,time,elapsed,date,hhmmss,rep name,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,MP1_C_4,1562247228,0,20190704 09:33:47,9:33:47,,1562247220,0.000364098,2.535716367,395.9756084,203.2482575,19.64951763,38.28190112,0.022055163,2.342526544,0.021940449,0.013723037,316.967733,29.71604381,28.37413548,3.87839994,62.9670271,2.32552955,3.693249717,1.55287039,-16.05673872,-105.9327035,-9.852833037,185.1254577,0.018962269,-0.425241842,4.633759347,53,9,1,0,50856,1999.999032,1685.999119,0.842999967,0.18799994,9,0.5,0: Broadleaf,1562247220,395.9756129,399.9953226,24.05452581,23.52153226,600.0188065,96.47743871,0.199983613,27.53533226,28.37413548,999.9,10003.14581,742.1832258,24.61623871,1999.999032,0.90000071,0.099999277,29,41744.53871,0,--:--:--,0,2.989,0.352,0,0,0,0,2.543356072,-0.132118618,0.023290654,1,399.99975,-0.131166979,0.021012794,1,395.975025,0.020634146,0.016527988,1,23.5203325,0.028852908,0.002883694,1,24.05356,0.021165478,0.002139486,1,5,5,5-May,100,100,2.989,0.352,3,549.144,350.865,26.9259,27.046,30.0002,26.9565,26.9221,19.6825,-30,-30,-999.9,400,0,103.255,104.651
2,MP1_C_4,1562247295,67.5,20190704 09:34:55,9:34:55,,1562247287,0.000347804,1.370175072,297.7778363,186.5451477,18.03499575,28.78885931,0.021009679,2.34281613,0.020905568,0.013075291,316.9674528,29.747392,28.40380323,3.885094151,62.9457719,2.328342478,3.698965646,1.556751673,-15.33814139,-106.3536449,-9.893528491,185.3821381,0.018965934,-0.425324037,4.634491808,53,9,1,0,50979,1999.996774,1685.997339,0.843000029,0.187999972,9,0.5,0: Broadleaf,1562247287,297.7778387,299.9883871,24.08323226,23.57410645,600.0180645,96.479,0.199986161,27.56177097,28.40380323,999.9,10004.91742,742.209129,37.71484839,1999.996774,0.900000516,0.099999535,29,41744.51935,0,--:--:--,0,2.989,0.352,0,0,0,0,1.298215415,0.893874035,0.107867137,1,299.985825,0.085304907,0.024279505,1,297.82505,-0.860547985,0.090562948,1,23.5723425,0.037311244,0.003610463,1,24.0818325,0.031516018,0.003115958,1,5,5,5-May,100,100,2.989,0.352,3,549.12,350.542,26.9386,27.0801,30.0002,26.9898,26.9552,15.7231,-30,-30,-999.9,300,0,103.252,104.649
3,MP1_C_4,1562247363,135.1000001,20190704 09:36:02,9:36:02,,1562247355,0.000329991,0.325908352,199.404193,168.1859223,16.25999836,19.27814057,0.019891989,2.341195868,0.019798569,0.012382462,316.9676579,29.77619752,28.42486774,3.889853252,62.91871698,2.330305941,3.703676828,1.55954731,-14.55260247,-106.1917391,-9.887413876,186.3359025,0.018945431,-0.424864238,4.630394115,53,9,1,0,51009,1999.997419,1685.997889,0.843000032,0.188000033,9,0.5,0: Broadleaf,1562247355,199.4041935,199.9917419,24.10360968,23.62056774,600.016871,96.47870968,0.200002452,27.58353548,28.42486774,999.9,9994.131613,742.1663548,83.67779677,1999.997419,0.899999677,0.100000348,29,41744.5129,0,--:--:--,0,2.989,0.352,0,0,0,0,0.244897194,0.965946381,0.119178564,1,199.9862,0.015398396,0.026583077,1,199.456025,-0.985261989,0.100431441,1,23.61811,0.052540669,0.005085853,1,24.10283,0.016726593,0.001677528,1,5,5,5-May,100,100,2.989,0.352,3,549.231,350.125,26.9628,27.1223,30.0002,27.0295,26.9952,11.6008,-30,-30,-999.9,200,0,103.246,104.64
4,MP1_C_4,1562247432,204.1000001,20190704 09:37:11,9:37:11,,1562247424,0.000315928,-0.453357942,100.6218395,135.9745102,13.14577864,9.727944057,0.018898995,2.341122489,0.018814646,0.011766701,316.967023,29.84854886,28.49454839,3.905632433,62.7860368,2.334644244,3.718413143,1.570988188,-13.93240447,-106.4103042,-9.914870609,186.7094438,0.018944502,-0.42484342,4.630208567,53,9,1,0,50806,1999.993871,1685.994891,0.843000029,0.18799999,9,0.5,0: Broadleaf,1562247424,100.6218387,99.98950645,24.14859677,23.68616452,600.0197742,96.47825161,0.200005355,27.65145806,28.49454839,999.9,9993.689355,741.849129,103.4835323,1999.993871,0.900000258,0.099999784,29,41744.47097,0,--:--:--,0,2.989,0.352,0,0,0,0,-0.528260873,0.901637865,0.111858155,1,99.985325,0.021207085,0.011708752,1,100.6688,-0.855081394,0.090113595,1,23.68413,0.049460735,0.0048294,1,24.147335,0.029951713,0.002934327,1,5,5,5-May,100,100,2.989,0.352,3,549.143,349.679,26.9907,27.166,30.0002,27.0706,27.0367,7.33039,-30,-30,-999.9,100,0,103.239,104.629
5,MP1_C_4,1562247497,268.7,20190704 09:38:16,9:38:16,,1562247489,0.000299489,-0.852619132,51.24940151,125.4895494,12.13232507,4.954790274,0.017869594,2.342272243,0.0177942,0.011128122,316.9666842,29.87861649,28.52193871,3.91185024,62.7611028,2.337245606,3.724035273,1.574604634,-13.2074704,-106.6568665,-9.935601198,187.1667461,0.01895905,-0.425169667,4.633116163,53,9,1,0,50966,1999.991613,1685.993004,0.843000037,0.188,9,0.5,0: Broadleaf,1562247489,51.2494,49.99352903,24.17507742,23.73671613,600.0166129,96.47997742,0.199986226,27.67730968,28.52193871,999.9,10001.18484,740.9039355,442.2338387,1999.991613,0.900000161,0.099999887,29,41744.40968,0,--:--:--,0,2.989,0.352,0,0,0,0,-0.922310754,0.866495015,0.103875552,1,49.989005,0.121708818,0.018471965,1,51.29404,-0.791970732,0.084020104,1,23.735825,0.015685553,0.002043863,1,24.1739475,0.02416773,0.002461299,1,5,5,5-May,100,100,2.989,0.352,3,549.373,349.421,27.021,27.2059,30.0002,27.108,27.0721,5.19077,-30,-30,-999.9,50,0,103.234,104.625
6,MP1_C_4,1562247577,348.7,20190704 09:39:36,9:39:36,,1562247569,0.000288136,1.807531761,397.1376097,217.3571986,21.01442555,38.39586997,0.016932484,2.341747033,0.016864759,0.010546537,316.9654937,29.99136596,28.61602581,3.933274525,62.30355738,2.335010103,3.747795794,1.598264423,-12.70678635,-104.765291,-9.77145356,189.7219629,0.018952404,-0.425020623,4.631787891,50,8,1,0,50990,1999.984516,1685.986907,0.84299998,0.187999973,9,0.5,0: Broadleaf,1562247569,397.1376129,400.0204839,24.15156452,23.72980968,600.0147742,96.48154194,0.199983645,27.78619032,28.61602581,999.9,9997.516774,739.5474839,702.9960968,1999.984516,0.90000029,0.099999697,30,41744.26774,0,--:--:--,0,2.989,0.352,0,0,0,0,1.872857886,-0.749552727,0.088089845,1,400.0288,-0.06824015,0.028123122,1,397.089775,0.933377111,0.093927761,1,23.72913,0.015541463,0.001612328,1,24.1519225,-0.010017636,0.001065009,1,5,5,5-May,100,100,2.989,0.352,3,553.29,350.061,27.0715,27.2307,30,27.132,27.0957,19.6989,-30,-30,-999.9,400,0,103.233,104.623
7,MP1_C_4,1562247637,409.2,20190704 09:40:37,9:40:37,,1562247629,0.000269749,1.558270061,397.5080618,228.1673587,22.05987423,38.43221878,0.01556957,2.341970688,0.015512294,0.009700312,316.9663001,30.1126738,28.73852581,3.961321938,61.87849079,2.334811068,3.773219156,1.62651087,-11.89592933,-105.6167608,-9.861625412,189.5919845,0.018955234,-0.425084088,4.632353504,50,8,1,0,50802,1999.989677,1685.991258,0.84299998,0.187999967,9,0.5,0: Broadleaf,1562247629,397.5080645,400.0062258,24.14917097,23.75433226,600.0203871,96.48286452,0.200001774,27.90202581,28.73852581,999.9,9998.872581,740.1246129,464.6727419,1999.989677,0.900000387,0.099999603,30,41744.36452,0,--:--:--,0,2.989,0.352,0,0,0,0,1.577636396,-0.274465984,0.032638626,1,400.00325,0.09284803,0.01747677,1,397.491975,0.467831144,0.046751731,1,23.7534425,0.025581614,0.002539674,1,24.149625,-0.014541839,0.00149612,1,5,5,5-May,100,100,2.989,0.352,3,553.313,349.903,27.13,27.2501,30.0002,27.1539,27.1191,19.6957,-30,-30,-999.9,400,0,103.233,104.623
8,MP1_C_4,1562247719,491.2,20190704 09:41:59,9:41:59,,1562247711,0.000230874,2.468478425,596.1066408,282.6489572,27.3277047,57.63412823,0.013152811,2.342866586,0.013111926,0.008198617,316.9663164,30.21423,28.82522581,3.981277896,61.54527789,2.334470102,3.793093771,1.646807794,-10.18154921,-105.2301588,-9.8304163,191.7241921,0.018966573,-0.42533836,4.634619433,50,8,1,0,50823,1999.989677,1685.991357,0.843000029,0.187999965,9,0.5,0: Broadleaf,1562247711,596.1066452,600.0156774,24.14529677,23.80735806,600.019,96.48426774,0.199990226,27.99210645,28.82522581,999.9,10004.70806,740.9457419,562.8206774,1999.989677,0.900000613,0.099999442,30,41744.35161,0,--:--:--,0,2.989,0.352,0,0,0,0,2.531102657,-0.773706986,0.087658074,1,600.0167,-0.104285178,0.02328755,1,596.055425,0.959178236,0.097607092,1,23.8056425,0.039529081,0.003872589,1,24.1452825,0.002302064,0.000529569,1,5,5,5-May,100,100,2.989,0.352,3,553.481,350.107,27.212,27.3044,30.0005,27.2029,27.1694,27.219,-30,-30,-999.9,600,0,103.226,104.613
9,MP1_C_4,1562247807,579.2,20190704 09:43:27,9:43:27,,1562247799,0.000187637,2.875188682,795.4628659,341.0148201,32.97076491,76.90873711,0.01052066,2.341568562,0.01049447,0.006561391,316.966777,30.34078536,28.93708387,4.007154033,61.16401736,2.335175903,3.817891635,1.671978131,-8.274795171,-105.1767446,-9.841820442,193.6734168,0.018950146,-0.424969981,4.63133656,50,8,1,0,50861,1999.992581,1685.993726,0.84299999,0.187999974,9,0.5,0: Broadleaf,1562247799,795.462871,799.9993871,24.15259677,23.87794839,600.0204194,96.48424839,0.200009806,28.10392581,28.93708387,999.9,9996.045161,741.9184516,178.9615806,1999.992581,0.900000323,0.099999677,30,41744.42581,0,--:--:--,0,2.989,0.352,0,0,0,0,2.920961656,-0.597700796,0.067584728,1,799.987825,0.10758349,0.036159983,1,795.414075,0.960529081,0.096727552,1,23.87555,0.052120075,0.005047376,1,24.152145,0.007517448,0.001030764,1,5,5,5-May,100,100,2.989,0.352,3,553.51,350.165,27.3156,27.3861,30.0004,27.2738,27.2408,34.3146,-30,-30,-999.9,800,0,103.214,104.598
10,MP1_C_4,1562247888,660.2,20190704 09:44:48,9:44:48,,1562247880,0.000155137,3.040318022,995.2156075,411.8581716,39.82020543,96.22169152,0.008653353,2.341375766,0.008635625,0.005398855,316.96785,30.3846973,28.97018065,4.014838374,61.03962775,2.334966529,3.825328913,1.679871845,-6.841532874,-105.1281803,-9.841341596,195.1567953,0.018947707,-0.424915278,4.630849023,50,8,1,0,50728,1999.997742,1685.9982,0.843000052,0.188000112,9,0.5,0: Broadleaf,1562247880,995.2156129,1000.007516,24.15042903,23.92335161,600.0207419,96.48426774,0.199999258,28.13733871,28.97018065,999.9,9994.756452,743.1487742,49.89236129,1999.997742,0.899998645,0.100001368,30,41744.52258,0,--:--:--,0,2.989,0.352,0,0,0,0,3.107308102,-0.952359465,0.113891183,1,1000.00255,-0.081658537,0.039953692,1,995.169025,0.979688555,0.096609132,1,23.9218525,0.033328705,0.003257759,1,24.15092,-0.01036773,0.001518914,1,5,5,5-May,100,100,2.989,0.352,3,553.283,350.261,27.4034,27.4747,30.0006,27.3587,27.3252,41.0943,-30,-30,-999.9,1000,0,103.201,104.578
