obs,id,time,elapsed,date,hhmmss,rep name,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,MP1_S_1080,1562517369,0,20190707 12:36:08,12:36:08,,1562517361,0.001187756,7.334005693,388.3094539,259.0673887,25.02432327,37.50831531,0.097442125,2.341698476,0.0952443,0.059721025,316.9673036,25.21050319,24.38861667,3.065607348,65.94786831,1.891933058,2.868831255,1.173674289,-52.38004186,-139.2531582,-12.43200933,112.9020942,0.01895179,-0.425006844,4.631665095,0,0,1,0,51512,1999.997667,1685.99779,0.842999878,0.187999833,9,0.5,0: Broadleaf,1562517361,388.3094667,400.0018667,19.58647,17.83979667,600.0222667,96.39386,0.2000162,23.28558333,24.38861667,999.9,10006.28633,708.4871333,5.669898667,1999.997667,0.900001833,0.09999809,25,41744.56333,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,7.32989638,0.062627616,0.018659614,-1,399.9975,-0.005403377,0.026588531,1,388.304275,0.033557223,0.015725755,1,17.837165,0.052034522,0.005022377,1,19.588275,-0.035502439,0.003442728,1,4,4,4-Apr,100,100,2.587,0.129,3,624.518,363.643,22.7216,23.4744,30.0003,23.4073,23.3804,19.7237,-30,-30,-999.9,400,0,103.71,105.313
2,MP1_S_1080,1562517437,68.5,20190707 12:37:17,12:37:17,,1562517430,0.001142271,5.028330913,291.9431245,198.8180326,19.20469235,28.20004714,0.092928601,2.340449207,0.090926372,0.057005282,316.9676026,25.26968923,24.4362,3.074355104,65.77897916,1.892075342,2.876413356,1.182279762,-50.37416296,-139.6675988,-12.48142127,114.4444195,0.018935986,-0.424652427,4.6285062,0,0,1,0,51488,1999.997667,1685.998188,0.843000078,0.187999966,9,0.5,0: Broadleaf,1562517430,291.9431333,299.9856,19.58785333,17.90806,600.0184333,96.39430667,0.200011767,23.32929333,24.4362,999.9,9997.895667,709.3992,5.889128,1999.997667,0.9000008,0.099999317,25,41744.55,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,4.973984207,0.722482535,0.082642028,-1,299.9886,-0.034131332,0.02146602,1,291.99225,-0.859564728,0.089662353,1,17.90504,0.064442026,0.006252472,1,19.587185,0.017925704,0.001948403,1,4,4,4-Apr,100,100,2.587,0.129,3,624.599,363.105,22.789,23.5176,30.0002,23.4502,23.4246,15.7769,-30,-30,-999.9,300,0,103.704,105.306
3,MP1_S_1080,1562517504,135.5,20190707 12:38:24,12:38:24,,1562517497,0.001130042,2.799502433,195.4425618,141.7320829,13.69061704,18.87878322,0.090710241,2.340568413,0.088801501,0.055669085,316.9672221,25.38109766,24.54799333,3.09499318,65.54138662,1.89754045,2.895178981,1.197452731,-49.83486483,-140.1849194,-12.5409146,114.4065232,0.018937494,-0.42468624,4.628807592,0,0,1,0,51578,1999.995667,1685.996367,0.84300001,0.187999944,9,0.5,0: Broadleaf,1562517497,195.4425667,199.9729667,19.64428333,17.98257,600.0187,96.39504333,0.200002533,23.43704333,24.54799333,999.9,9998.615333,709.6809333,5.745518,1999.995667,0.900000833,0.099999207,25,41744.47,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,2.737311709,0.843426735,0.10079342,-1,199.976875,-0.085339587,0.025907709,1,195.4954,-0.991227017,0.099738859,1,17.9789575,0.069544841,0.006722049,1,19.641535,0.056584615,0.005460749,1,4,4,4-Apr,100,100,2.587,0.129,3,624.598,362.61,22.8563,23.5645,30.0003,23.4946,23.4696,11.6633,-30,-30,-999.9,200,0,103.698,105.297
4,MP1_S_1080,1562517572,203,20190707 12:39:31,12:39:31,,1562517564,0.001128518,0.625720635,98.87790557,85.65134377,8.273434836,9.551045815,0.089899533,2.33971345,0.088023709,0.055180093,316.9676662,25.46219377,24.63113,3.110419388,65.45335923,1.904165792,2.909194905,1.206253596,-49.7676397,-140.5192765,-12.58578924,114.0949608,0.018926681,-0.424443756,4.626646113,0,0,1,0,51539,1999.997333,1685.997836,0.843000042,0.188000043,9,0.5,0: Broadleaf,1562517564,98.87790667,99.98383667,19.71301667,18.05365333,600.0158333,96.39434,0.199997833,23.51712333,24.63113,999.9,9992.979333,710.0522,5.760412,1999.997333,0.899999567,0.100000467,25,41744.52667,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,0.562215638,0.820694658,0.096036349,-1,99.9796075,0.051384991,0.013340959,1,98.9275525,-0.854171482,0.089237142,1,18.0505225,0.063,0.006077684,1,19.71022,0.053822139,0.005204527,1,4,4,4-Apr,100,100,2.587,0.129,3,624.837,362.221,22.9319,23.6142,30.0002,23.541,23.5154,7.40455,-30,-30,-999.9,100,0,103.69,105.289
5,MP1_S_1080,1562517634,265.5,20190707 12:40:34,12:40:34,,1562517627,0.00112926,-0.523735914,50.68475092,59.09224034,5.7080235,4.895900844,0.089469476,2.341491988,0.087612736,0.054921571,316.9674345,25.52083036,24.69959667,3.123173961,65.43539403,1.910578226,2.919793262,1.212595735,-49.80036792,-141.6532206,-12.68596249,112.8278834,0.018949177,-0.424948254,4.63114292,0,0,1,0,51403,1999.997333,1685.997727,0.842999987,0.187999918,9,0.5,0: Broadleaf,1562517627,50.68475,49.98502,19.77923667,18.11889667,600.0167,96.39515333,0.199991267,23.57745333,24.69959667,999.9,10004.77267,710.6430333,5.982311333,1999.997333,0.9000011,0.099998923,25,41744.52333,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,-0.591980366,0.871039353,0.101516457,-1,49.9832675,0.01549531,0.009916763,1,50.74109,-0.972585366,0.100910026,1,18.1157475,0.061669418,0.005939823,1,19.775475,0.075316323,0.007262704,1,4,4,4-Apr,100,100,2.587,0.129,3,624.786,362.035,22.9952,23.6637,30.0004,23.5893,23.5637,5.26677,-30,-30,-999.9,50,0,103.683,105.278
6,MP1_S_1080,1562517706,337,20190707 12:41:45,12:41:45,,1562517698,0.001136318,8.053710497,387.273286,234.2898575,22.63090842,37.4081335,0.089521643,2.34079218,0.087662218,0.054952732,316.966977,25.61201948,24.78311667,3.138794676,65.37295057,1.919487094,2.936209973,1.219307581,-50.11163899,-140.4052844,-12.58917635,113.8608773,0.018940324,-0.424749715,4.629373367,0,0,1,0,51598,1999.995,1685.995624,0.842999919,0.187999881,9,0.5,0: Broadleaf,1562517698,387.2733,400.0135333,19.87177667,18.20122667,600.0203,96.39364333,0.199989267,23.67052667,24.78311667,999.9,10000.255,711.089,6.028877333,1999.995,0.900001333,0.09999862,25,41744.46667,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,8.142238951,-1.070947281,0.132760072,-1,400.027825,-0.128318949,0.028940359,1,387.2141,0.953493433,0.105828824,1,18.19866,0.050024015,0.004833053,1,19.8679175,0.075306191,0.007263191,1,4,4,4-Apr,100,100,2.587,0.129,3,624.817,362.41,23.068,23.7231,30.0003,23.6458,23.6191,19.7407,-30,-30,-999.9,400,0,103.677,105.269
7,MP1_S_1080,1562517766,397.5,20190707 12:42:46,12:42:46,,1562517759,0.001148547,8.224799549,386.9972857,232.1360646,22.42181435,37.37972085,0.090274981,2.340448645,0.088384215,0.055406714,316.9676455,25.65558946,24.83404333,3.148352946,65.41350009,1.926155753,2.944584452,1.222197192,-50.65090852,-140.8418644,-12.63643758,112.838435,0.018935979,-0.424652268,4.628504781,0,0,1,0,51658,1999.999,1685.999029,0.842999936,0.187999898,9,0.5,0: Broadleaf,1562517759,386.9973,400.0007333,19.94175,18.25335,600.0227333,96.38909333,0.2000101,23.71783,24.83404333,999.9,9998.432667,711.8133333,6.356506667,1999.999,0.900001167,0.0999988,25,41744.58333,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,8.204560155,0.272394387,0.033438242,-1,399.997825,-0.023876173,0.025129552,1,387.01735,-0.447579737,0.046938018,1,18.25178,0.038375235,0.003725534,1,19.939135,0.064102064,0.006174324,1,4,4,4-Apr,100,100,2.587,0.129,3,624.993,362.283,23.1339,23.7658,30.0002,23.6857,23.6578,19.7389,-30,-30,-999.9,400,0,103.674,105.266
8,MP1_S_1080,1562517836,467,20190707 12:43:55,12:43:55,,1562517828,0.001160108,13.37639804,578.9614767,330.6994651,31.94173838,55.9209735,0.091268421,2.340863012,0.089336625,0.056005549,316.9677491,25.70783264,24.87203333,3.155499729,65.46660348,1.934269047,2.954588973,1.221230681,-51.16074937,-138.5489154,-12.43442822,114.8236561,0.01894122,-0.424769808,4.629552465,0,0,1,0,51556,1999.999333,1685.999416,0.842999989,0.187999916,9,0.5,0: Broadleaf,1562517828,578.9615,600.0329667,20.02589,18.32062667,600.0175667,96.38842667,0.199992,23.77418667,24.87203333,999.9,10001.26933,712.3451333,6.770007667,1999.999333,0.900001133,0.099998893,25,41744.57667,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,13.44122201,-0.838791422,0.105519698,-1,600.021525,0.141373953,0.032503836,1,578.9014,0.931354878,0.107725763,1,18.3170375,0.06925325,0.006685532,1,20.022365,0.070086497,0.006766962,1,4,4,4-Apr,100,100,2.587,0.129,3,625.079,362.449,23.1996,23.8021,30.0003,23.7262,23.699,27.2403,-30,-30,-999.9,600,0,103.669,105.261
9,MP1_S_1080,1562517909,540,20190707 12:45:08,12:45:08,,1562517901,0.001164824,17.53743444,772.350636,449.9048155,43.45479332,74.59875091,0.092248212,2.342451036,0.090276507,0.056596457,316.9678179,25.71321108,24.88148,3.157279061,65.76204524,1.94394613,2.956030524,1.213332931,-51.36875728,-138.8121295,-12.45070796,114.3362232,0.018961313,-0.425220411,4.633568367,0,0,1,0,51469,1999.997667,1685.998015,0.842999991,0.188000113,9,0.5,0: Broadleaf,1562517901,772.3506667,800.0053667,20.12645,18.41443667,600.0202,96.38666333,0.199974167,23.78229333,24.88148,999.9,10012.062,713.5037667,7.124987667,1999.997667,0.899998367,0.100001567,25,41744.51333,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,17.60605345,-0.907963515,0.107401839,-1,800.00555,-0.034179186,0.030762762,1,772.29515,0.970280897,0.099238488,1,18.4104425,0.081071853,0.007829492,1,20.122085,0.090719926,0.008762778,1,4,4,4-Apr,100,100,2.587,0.129,3,625.242,362.731,23.2438,23.8446,30.0002,23.7714,23.7445,34.3237,-30,-30,-999.9,800,0,103.665,105.254
10,MP1_S_1080,1562517982,613.5,20190707 12:46:22,12:46:22,,1562517975,0.001174511,19.24125633,969.4575665,616.7088368,59.56432723,93.63427971,0.09323038,2.341139889,0.091215858,0.057187282,316.9679303,25.76425577,24.92735333,3.165932033,65.93354044,1.955268173,2.965513697,1.21066386,-51.79593269,-137.8042233,-12.37341093,114.9943634,0.018944723,-0.424848356,4.630252565,0,0,1,0,51637,1999.998,1685.998368,0.843000027,0.188000141,9,0.5,0: Broadleaf,1562517975,969.4576,1000.0266,20.24418333,18.51813,600.0165333,96.38422333,0.199972767,23.83553667,24.92735333,999.9,10003.555,713.8856,7.686143667,1999.998,0.899998133,0.100001833,25,41744.52333,1562517286,12:34:46,2,2.587,0.129,400,18,0.12,0.05,19.30985965,-0.834998163,0.115424529,-1,1000.024275,-0.048033771,0.049070351,1,969.394225,0.746375235,0.132045539,1,18.51379,0.084657411,0.008155544,1,20.2394275,0.09416848,0.00906802,1,4,4,4-Apr,100,100,2.587,0.129,3,625.282,362.751,23.288,23.8934,30.0003,23.821,23.7939,41.0876,-30,-30,-999.9,1000,0,103.658,105.245
