obs,id,time,elapsed,date,hhmmss,rep name,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
2,MP1_NO3_1154,1561559098,2118.3,20190626 09:24:58,9:24:58,,1561559090,0.000916625,3.942699254,393.5308963,277.1193893,26.72155451,37.94666741,0.059116464,2.337527223,0.058298278,0.036508991,316.9674777,27.0181465,25.93312903,3.360929631,59.29577341,1.886068653,3.180780929,1.474860978,-40.42316481,-116.8602774,-10.62483643,149.059199,0.018899044,-0.42382399,4.621120542,8,1,1,0,51239,1999.996129,1685.996742,0.843000003,0.188000053,9,0.5,0: Broadleaf,1561559090,393.5309032,399.9854194,19.55972258,18.21180645,600.057,96.22615806,0.19998729,25.00581935,25.93312903,999.9,9995.827742,708.1148387,3.582101613,1999.996129,0.899999258,0.100000719,26.19623871,41744.48065,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,400.001625,-0.537422139,0.080580298,1,393.5093,0.412412758,0.042918644,1,18.1800775,0.671532833,0.06563695,1,19.55319,0.144247655,0.014315006,1,4,4,4-Apr,100,100,2.599,0.107,3,601.461,355.599,24.4862,24.9577,30,24.9159,24.8865,19.67,30.0175,71.7512,-999.9,400,18.3419,103.47,104.884
3,MP1_NO3_1154,1561559164,2183.8,20190626 09:26:03,9:26:03,,1561559156,0.000693874,2.329117118,296.1657056,205.3391244,19.80001632,28.55805401,0.044493712,2.337397026,0.044028487,0.027559198,316.9673798,27.14351385,26.02382903,3.379019217,59.57311035,1.90098467,3.191011277,1.478034547,-30.59984694,-121.4943263,-11.05480592,153.8184006,0.018897399,-0.423787094,4.620791545,8,1,1,0,51203,1999.996129,1685.996651,0.842999957,0.188000006,9,0.5,0: Broadleaf,1561559156,296.1657097,299.9673548,19.71445484,18.69423871,600.0446774,96.22594194,0.199989452,25.05969355,26.02382903,999.9,9994.98,708.4947419,3.61004129,1999.996129,0.899999742,0.1000002,26.97713226,41744.50645,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,299.95705,0.255557223,0.053236242,1,296.220275,-0.848363977,0.103563263,1,18.681315,0.293257036,0.028804892,1,19.7086975,0.126462664,0.01224852,1,4,4,4-Apr,100,100,2.599,0.107,3,601.306,355.602,24.5149,24.9658,30.0002,24.9223,24.8948,15.6915,27.9018,71.3795,-999.9,300,18.789,103.468,104.883
4,MP1_NO3_1154,1561559231,2250.8,20190626 09:27:10,9:27:10,,1561559223,0.000595311,1.16512013,198.113127,144.6713942,13.9502275,19.10345308,0.038232545,2.336679657,0.03788839,0.023710906,316.9675745,27.20479808,26.04242258,3.382738076,59.72776129,1.90922833,3.196550966,1.473509746,-26.2532361,-120.1322685,-10.93684799,159.645222,0.018888335,-0.423583828,4.618978965,8,1,1,0,51060,1999.996774,1685.997353,0.843000036,0.188000043,9,0.5,0: Broadleaf,1561559223,198.113129,200.0375484,19.79972903,18.92451935,600.0528065,96.22700323,0.199989645,25.08880323,26.04242258,999.9,9990.075806,708.8618065,3.699104194,1999.996774,0.899999548,0.100000477,27,41744.52903,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,200.0046,0.846619137,0.098340938,1,198.158725,-0.868401501,0.09281325,1,18.9033575,0.378539212,0.039762834,1,19.7882225,0.271777486,0.026536621,1,4,4,4-Apr,100,100,2.599,0.107,3,601.393,355.334,24.5428,24.9787,30,24.9347,24.9053,11.5391,27.071,70.6328,-999.9,200,18.8917,103.468,104.882
5,MP1_NO3_1154,1561559298,2317.8,20190626 09:28:17,9:28:17,,1561559290,0.000671834,0.043894719,99.81705476,95.7167571,9.229343123,9.624708105,0.043134067,2.337539178,0.042696716,0.026724372,316.9675458,27.23074671,26.09284194,3.392840348,59.80010513,1.91739185,3.20633525,1.475448498,-29.62789254,-120.0646646,-10.93225929,156.3427294,0.018899195,-0.423827378,4.621150751,8,1,1,0,51138,1999.997742,1685.997974,0.842999939,0.187999957,9,0.5,0: Broadleaf,1561559290,99.81705484,99.98347097,19.8851129,18.8975,600.0603226,96.22347419,0.200009032,25.14010968,26.09284194,999.9,9996.186452,709.4579677,3.499711935,1999.997742,0.900000355,0.099999587,27,41744.5,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,100.012125,-0.682061538,0.133755254,1,99.8647275,-0.962603752,0.096302116,1,18.90131,-0.081109193,0.008826574,1,19.884505,0.019584991,0.002199767,1,4,4,4-Apr,100,100,2.599,0.107,3,601.53,354.978,24.567,24.9934,30.0001,24.9452,24.9157,7.23708,27.071,70.2576,-999.9,100,18.9293,103.464,104.88
6,MP1_NO3_1154,1561559362,2382.3,20190626 09:29:22,9:29:22,,1561559354,0.000761819,-0.510269237,50.6646267,65.93075675,6.357256033,4.885246577,0.049314249,2.339924192,0.048744063,0.030515719,316.9676803,27.21799074,26.09285161,3.39284229,60.04826427,1.927422148,3.209788278,1.465420142,-33.59623086,-117.9083292,-10.72594872,154.7371716,0.018929346,-0.424503521,4.62717887,8,1,1,0,51234,1999.99871,1685.998782,0.842999935,0.187999946,9,0.5,0: Broadleaf,1561559354,50.66462581,49.95716452,19.98919032,18.86937742,600.0395484,96.22325484,0.199967742,25.15818387,26.09285161,999.9,10012.15645,709.7614194,3.751115484,1999.99871,0.900000484,0.099999458,27,41744.54194,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,49.961095,-0.233691557,0.055319165,1,50.71275,-0.913181989,0.09281679,1,18.8703625,-0.023163602,0.002464821,1,19.9829375,0.136440901,0.013135461,1,4,4,4-Apr,100,100,2.599,0.107,3,601.542,354.84,24.5932,25.0075,30.0002,24.9577,24.9289,5.08772,27.071,69.8843,-999.9,50,18.8397,103.459,104.874
7,MP1_NO3_1154,1561559434,2454.3,20190626 09:30:34,9:30:34,,1561559426,0.000936261,4.627575699,392.5655725,262.0043874,25.26264767,37.85144914,0.061218054,2.336337689,0.060340687,0.03779071,316.967633,27.14659676,26.04463871,3.383181558,60.14124956,1.928301189,3.206287203,1.45488037,-41.2891115,-113.9631277,-10.37950248,151.3358913,0.018884015,-0.423486947,4.618114996,8,1,1,0,51152,1999.997419,1685.997727,0.842999951,0.188000036,9,0.5,0: Broadleaf,1561559426,392.5655806,400.0577742,19.99882903,18.6226129,600.0389032,96.22070645,0.199998258,25.13985806,26.04463871,999.9,9988.444516,709.6751613,3.792483226,1999.997419,0.89999929,0.100000629,27,41744.51935,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,400.038375,0.441285627,0.053330426,1,392.515575,0.970993275,0.099510273,1,18.6245175,-0.023832307,0.003646018,1,19.9993475,0.015602912,0.005803361,1,4,4,4-Apr,100,100,2.599,0.107,3,601.85,355.087,24.6054,25.0207,30.0002,24.9682,24.9385,19.6671,28.194,69.1403,-999.9,400,18.534,103.457,104.872
8,MP1_NO3_1154,1561559495,2514.8,20190626 09:31:34,9:31:34,,1561559487,0.001077788,4.874771168,392.0926366,271.6446061,26.19216466,37.80584878,0.07050308,2.336594428,0.069342233,0.043441601,316.9675906,27.12710084,26.06460968,3.387180352,60.09523341,1.929831812,3.21128932,1.45734854,-47.53046412,-113.1938214,-10.31069266,145.9326124,0.018887258,-0.423559681,4.618763631,7,1,1,0,51292,1999.998387,1685.998554,0.842999957,0.187999918,9,0.5,0: Broadleaf,1561559487,392.0926452,400.0381935,20.01470323,18.43047742,600.0375806,96.22071613,0.19998971,25.16603548,26.06460968,999.9,9990.159032,709.6361935,4.490752581,1999.998387,0.900000968,0.099999016,27,41744.54194,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,400.010725,0.416727221,0.075403908,1,392.116775,-0.529673792,0.053277804,1,18.433125,-0.069682479,0.009115721,1,20.01169,0.07222763,0.007045843,1,4,4,4-Apr,100,100,2.599,0.107,3,602.131,354.879,24.6226,25.0272,30.0001,24.9746,24.9447,19.6589,29.0401,68.3939,-999.9,400,18.3135,103.456,104.872
9,MP1_NO3_1154,1561559566,2586.3,20190626 09:32:46,9:32:46,,1561559558,0.001215878,7.790574978,587.2683089,416.0441359,40.11497842,56.62441434,0.079770387,2.339020101,0.078289273,0.049061577,316.9678549,27.0878808,26.03353548,3.38096014,59.91070454,1.924700718,3.21261573,1.456259421,-53.62024059,-108.5182627,-9.873351365,144.9560003,0.018917914,-0.424247156,4.624893469,7,1,1,0,51269,1999.998065,1685.998393,0.843000012,0.188000093,9,0.5,0: Broadleaf,1561559558,587.2683226,600.0244839,19.96163226,18.17432903,600.0362903,96.22000968,0.199997129,25.17297097,26.03353548,999.9,10006.44742,709.8358387,3.877098065,1999.998065,0.899998742,0.100001229,27,41744.53871,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,600.0381,0.184214222,0.085455485,1,587.22105,0.952205218,0.096749922,1,18.1800075,-0.140734122,0.014092097,1,19.9615125,-0.001649272,0.0010787,1,4,4,4-Apr,100,100,2.599,0.107,3,602.306,354.685,24.6383,25.0376,30.0001,24.9849,24.9551,27.1994,29.6012,67.2683,-999.9,600,18.2163,103.46,104.877
10,MP1_NO3_1154,1561559642,2661.8,20190626 09:34:01,9:34:01,,1561559634,0.001260917,9.108844729,784.9164034,587.5602024,56.65210512,75.681039,0.08221262,2.338303191,0.080639917,0.050538744,316.9674567,27.13857322,26.1045871,3.395197448,59.81914173,1.929175645,3.225013915,1.466021803,-55.60644953,-109.2848893,-9.952934867,142.123183,0.018908851,-0.424043919,4.623081503,7,1,1,0,51258,1999.997419,1685.997774,0.842999975,0.187999926,9,0.5,0: Broadleaf,1561559634,784.9164194,800.0632258,20.00820323,18.15479677,600.0409032,96.21925484,0.199979968,25.23767742,26.1045871,999.9,10001.73226,710.0166774,3.671612258,1999.997419,0.900000935,0.099999068,27,41744.51935,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,800.05855,-0.108427767,0.103245811,1,784.857925,0.929234522,0.110735132,1,18.15256,0.042945591,0.005902703,1,20.0072575,0.020738837,0.002096412,1,4,4,4-Apr,100,100,2.599,0.107,3,602.209,354.841,24.6683,25.0535,30.0001,24.9996,24.9697,34.3163,29.0392,66.1424,-999.9,800,18.2119,103.46,104.877
11,MP1_NO3_1154,1561559711,2731.3,20190626 09:35:11,9:35:11,,1561559703,0.00126104,9.862021963,983.3344987,766.1984732,73.87658243,94.81276027,0.082147174,2.337624624,0.080576503,0.050498931,316.9675749,27.15259973,26.1235,3.398996024,59.84968396,1.931721183,3.227621359,1.467274841,-55.61185155,-109.9251785,-10.01578875,141.4147561,0.018900275,-0.423851593,4.62136667,7,1,1,0,51039,1999.998065,1685.998301,0.842999967,0.187999937,9,0.5,0: Broadleaf,1561559703,983.3345161,999.9863226,20.03451935,18.18099677,600.0454839,96.21962258,0.200019355,25.25125806,26.1235,999.9,9997.157742,709.9149032,3.598695806,1999.998065,0.900000742,0.099999245,27,41744.52581,1561559016,9:23:36,1,2.599,0.107,400,17,0.26,0.04,999.986625,-0.083867963,0.077203849,1,983.2942,0.742746769,0.087716646,1,18.186025,-0.132854127,0.01383739,1,20.0378375,-0.081035275,0.00816173,1,4,4,4-Apr,100,100,2.599,0.107,3,602.144,355.144,24.6956,25.0671,30.0002,25.0122,24.9822,41.1075,29.0392,65.3927,-999.9,1000,18.2112,103.46,104.877
