obs,id,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
33,BH1_C_549,1562785637,2593.8,20190710 15:07:17,15:07:17,1562785629,0.001208319,11.04347098,1181.321593,896.0658949,85.42910504,112.6248048,0.069969168,2.324562231,0.068819868,0.043114105,316.9676774,31.20530459,29.60749677,4.165336095,62.38250809,2.550376551,4.088287933,1.614959544,-53.28685922,-40.56949618,-3.859328392,219.2519936,0.01873553,-0.420157071,4.588397935,0,0,1,0,49975,1999.99871,1685.998855,0.842999971,0.187999936,9,0.5,0: Broadleaf,1562785629,1181.321613,1200.027742,26.7509,24.98692581,600.0063226,95.30425806,0.033713768,29.28377419,29.60749677,999.9,10005.19935,750.067129,5.863180645,1999.99871,0.900000774,0.099999219,30.96236452,41744.56129,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,11.12635584,-1.014374776,0.13902307,-1,1200.01878,0.086341463,0.056013723,1,1181.259268,0.96815331,0.113790356,1,24.9875439,-0.014000697,0.00147252,1,26.75335366,-0.053462718,0.005697201,1,4,4,4-Apr,100,100,2.702,0.342,3,626.053,329.88,28.78,29.106,30.0001,29.0184,28.9847,47.7521,-30,-30,-999.9,1200,0,102.922,104.255
34,BH1_C_549,1562785707,2663.8,20190710 15:08:27,15:08:27,1562785699,0.001192363,12.23138687,1479.043204,1156.013383,110.2126979,141.0099089,0.069333783,2.32363685,0.068204639,0.042727817,316.9674931,31.27780145,29.56159355,4.154334388,62.04024922,2.546181242,4.104079649,1.608153145,-52.58321255,-26.43722221,-2.516203484,235.4308548,0.018723884,-0.419895896,4.586065323,0,0,1,0,49905,1999.997742,1685.997916,0.84299991,0.187999932,9,0.5,0: Broadleaf,1562785699,1479.043226,1500.035161,26.70671935,24.96598065,600.0137097,95.30478065,0.033819674,29.35055484,29.56159355,999.9,9998.925161,749.7118065,5.478412258,1999.997742,0.900000581,0.099999335,31,41744.52258,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,12.33232813,-1.153558444,0.156391435,-1,1500.042439,-0.040139373,0.070806521,1,1478.981707,0.963763066,0.121271766,1,24.96683902,-0.017213937,0.001753447,1,26.70792683,-0.025379791,0.002530114,1,4,4,4-Apr,100,100,2.702,0.342,3,626.203,330.329,28.7827,29.116,30,29.0284,28.9941,57.0993,-30,-30,-999.9,1500,0,102.92,104.256
35,BH1_C_549,1562785781,2737.8,20190710 15:09:41,15:09:41,1562785773,0.001183633,13.75212802,1975.904169,1596.971287,152.2493274,188.3753847,0.067925327,2.324116092,0.066841425,0.041871834,316.9671059,31.35324909,29.63568065,4.172103549,61.71007845,2.54333988,4.121433555,1.628763669,-52.19821982,-26.56271812,-2.529472317,235.6766956,0.018729915,-0.420031146,4.587273301,0,0,1,0,49854,1999.994839,1685.995687,0.843000019,0.187999951,9,0.5,0: Broadleaf,1562785773,1975.904194,2000.039677,26.67756129,24.94953548,600.0205484,95.30218387,0.034112145,29.42368387,29.63568065,999.9,10002.41839,749.7570323,5.312340968,1999.994839,0.900000774,0.099999274,31,41744.47742,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,13.81302474,-0.70847777,0.117665244,-1,2000.036829,0.121881533,0.089590914,1,1975.844634,0.949756098,0.115991959,1,24.94954634,-0.000294774,0.000412072,1,26.68301463,-0.095845296,0.0098166,1,4,4,4-Apr,100,100,2.702,0.342,3,626.191,331.103,28.8078,29.121,30,29.0309,28.9965,71.5613,-30,-30,-999.9,2000,0,102.923,104.26
47,BH1_C_34,1562787321,4277.5,20190710 15:35:20,15:35:20,1562787313,0.00028692,0.147225182,399.5986449,366.7975132,34.96648148,38.09338426,0.012576845,2.324434105,0.012539162,0.007840353,316.9691861,31.80750435,30.87057742,4.478194023,57.08162983,2.3752909,4.161217729,2.102903123,-12.65317938,-160.4345919,-15.38198404,128.4994308,0.018733917,-0.420120905,4.588074943,0,0,1,0,49835,2000.007742,1686.006381,0.842999927,0.187999992,9,0.5,0: Broadleaf,1562787313,399.5986452,399.9914516,24.91674194,24.49709677,600.0163226,95.29643548,0.032677226,29.59032581,30.87057742,999.9,10005.15935,748.5875484,4.367390323,2000.007742,0.899999806,0.100000103,31,41744.72903,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,0.145840908,0.061768593,0.021458313,-1,399.9970488,-0.013421603,0.032174032,1,399.601122,-0.071686411,0.01433773,1,24.49699756,-0.001041115,0.000594071,1,24.9175878,-0.017652962,0.001945501,1,4,4,4-Apr,100,100,2.702,0.342,3,620.254,326.951,28.9828,29.0562,30,28.9565,28.9205,19.7562,-30,-30,-999.9,400,0,102.933,104.286
48,BH1_C_34,1562787387,4344,20190710 15:36:27,15:36:27,1562787379,0.000275705,-0.125997821,300.0593551,305.6168378,29.13415328,28.60436391,0.0122676,2.32357478,0.012231731,0.007648046,316.9687281,31.69344618,30.74285161,4.44565346,57.43672956,2.373779903,4.13286049,2.071873557,-12.15858501,-159.2365489,-15.2541595,130.3194347,0.018723103,-0.419878381,4.585908878,0,0,1,0,49847,2000.004516,1686.003739,0.842999966,0.188000015,9,0.5,0: Broadleaf,1562787379,300.0593548,299.9944516,24.90091613,24.49766774,600.0163226,95.29671613,0.0323027,29.47169032,30.74285161,999.9,9999.354194,749.3917097,7.446478387,2000.004516,0.899999645,0.100000303,30,41744.68387,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,-0.20231474,0.904687294,0.108662683,-1,299.9906585,0.040593085,0.011040082,1,300.1143415,-0.99966712,0.103819874,1,24.49711707,0.009300045,0.001021931,1,24.90085366,0.004634821,0.001113574,1,4,4,4-Apr,100,100,2.702,0.342,3,620.153,326.809,28.9284,29.0412,29.9999,28.9491,28.914,15.762,-30,-30,-999.9,300,0,102.932,104.287
49,BH1_C_34,1562787454,4411,20190710 15:37:34,15:37:34,1562787446,0.000278832,-0.289004506,200.3359683,230.0899306,21.93465434,19.09818567,0.012345248,2.322708465,0.012308911,0.007696325,316.9683425,31.72330749,30.78907097,4.457404851,57.37307624,2.375277591,4.140056184,2.08212726,-12.29650609,-161.1867885,-15.45258484,128.0324631,0.018712203,-0.419633947,4.583725538,0,0,1,0,49997,2000.002903,1686.002312,0.842999932,0.187999945,9,0.5,0: Broadleaf,1562787446,200.3359677,199.9862581,24.91616452,24.50834516,600.0117742,95.29813548,0.032652265,29.50186129,30.78907097,999.9,9993.384194,748.6223871,5.165579355,2000.002903,0.900000484,0.099999455,30,41744.64839,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,-0.370092654,0.987210005,0.119924058,-1,199.9831463,0.110550523,0.018467587,1,200.3899756,-0.949547038,0.0990133,1,24.50729512,0.024160976,0.002539152,1,24.91541463,0.016787456,0.001839348,1,4,4,4-Apr,100,100,2.702,0.342,3,620.401,326.666,28.8999,29.0263,30.0001,28.9392,28.9054,11.599,-30,-30,-999.9,200,0,102.933,104.288
50,BH1_C_34,1562787522,4478.5,20190710 15:38:41,15:38:41,1562787514,0.000271213,-0.426297809,100.5753233,152.6464576,14.55147345,9.587639114,0.012073568,2.324047879,0.01203883,0.007527381,316.9683965,31.71399822,30.75393871,4.448469919,57.46904969,2.377796046,4.137524561,2.070673874,-11.96049256,-158.2072046,-15.1547651,131.6459343,0.018729056,-0.420011894,4.587101358,0,0,1,0,50036,2000.001935,1686.001774,0.843000071,0.188000037,9,0.5,0: Broadleaf,1562787514,100.5753226,99.97680323,24.94332581,24.54666129,600.0113871,95.29546774,0.032479465,29.49125161,30.75393871,999.9,10002.66484,748.2660323,4.072663226,2000.001935,0.899999774,0.1000003,30.06585806,41744.60323,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,-0.50260849,0.891571824,0.112210406,-1,99.97806585,-0.033085482,0.009465434,1,100.6292927,-0.915796412,0.09776284,1,24.54505366,0.036915887,0.003741533,1,24.94216585,0.025428085,0.002632407,1,4,4,4-Apr,100,100,2.702,0.342,3,620.609,326.434,28.8846,29.0114,30,28.9293,28.8956,7.29151,-30,-30,-999.9,100,0,102.936,104.295
51,BH1_C_34,1562787585,4541.5,20190710 15:39:44,15:39:44,1562787577,0.000271119,-0.487014681,50.69020088,112.2771265,10.70312601,4.832182871,0.012108415,2.323810914,0.012073473,0.007549052,316.9681532,31.70077226,30.73938065,4.444772048,57.58517788,2.380748784,4.134308291,2.064023264,-11.9563619,-158.0569012,-15.13980992,131.8150802,0.018726074,-0.419945018,4.586504058,0,0,1,0,49840,2000.000645,1686.000528,0.842999992,0.188000032,9,0.5,0: Broadleaf,1562787577,50.6902,49.98030968,24.97435161,24.57783871,600.0144194,95.29512258,0.032628884,29.47776452,30.73938065,999.9,10001.10839,747.810871,3.821800645,2000.000645,0.899999516,0.100000458,30.25806774,41744.58387,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,-0.560470012,0.889100931,0.110505627,-1,49.981,0.010700895,0.010646424,1,50.74140488,-0.88472821,0.095012951,1,24.57633415,0.029109931,0.002900514,1,24.97272683,0.03219722,0.003198248,1,4,4,4-Apr,100,100,2.702,0.342,3,620.377,326.36,28.868,29.0039,30.0001,28.9244,28.8907,5.13404,-30,-30,-999.9,50,0,102.935,104.294
52,BH1_C_34,1562787659,4615.6,20190710 15:40:58,15:40:58,1562787651,0.000277675,0.385551354,399.268709,336.2349985,32.05238831,38.06122431,0.012410003,2.323716493,0.0123733,0.007736601,316.9684961,31.68858908,30.7386871,4.444595947,57.64715977,2.381912592,4.131881955,2.062683355,-12.24544658,-159.2389865,-15.25283838,130.2312247,0.018724886,-0.419918371,4.586266064,0,0,1,0,50039,2000.001613,1686.001458,0.843000049,0.188000132,9,0.5,0: Broadleaf,1562787651,399.2687097,400.0133226,24.98666774,24.58057097,600.0114839,95.29445484,0.032886003,29.46758387,30.7386871,999.9,10000.54387,748.8646129,3.938001935,2000.001613,0.899998355,0.100001645,30,41744.60323,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,0.484587684,-1.186116019,0.148695693,-1,400.0220488,-0.166143842,0.023524716,1,399.2090732,0.996121317,0.109769912,1,24.58189268,-0.028750897,0.002901756,1,24.98745854,-0.017108554,0.001798912,1,4,4,4-Apr,100,100,2.702,0.342,3,620.463,326.863,28.8533,29.0064,30,28.9269,28.8932,19.7677,-30,-30,-999.9,400,0,102.933,104.292
53,BH1_C_34,1562787719,4676.1,20190710 15:41:59,15:41:59,1562787711,0.000277111,0.342533608,399.33658,341.4704044,32.55026515,38.06629036,0.012340213,2.324412692,0.012303932,0.007693208,316.968351,31.70082445,30.7663871,4.451634041,57.59952367,2.381686068,4.13490584,2.069947973,-12.22060121,-161.1680184,-15.43607486,128.1436565,0.018733648,-0.420114861,4.588020965,0,0,1,0,49934,2000.001935,1686.001627,0.842999998,0.188000027,9,0.5,0: Broadleaf,1562787711,399.3365806,400.0163548,24.9852129,24.57994194,600.015129,95.29106129,0.032763935,29.48027097,30.7663871,999.9,10005.57968,748.5797097,4.011938387,2000.001935,0.899999613,0.100000371,30,41744.60645,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,0.329094536,0.147968196,0.024797769,-1,400.0049512,0.277254355,0.034549329,1,399.343439,-0.069135889,0.016910163,1,24.57977561,0.008816028,0.001165726,1,24.98469268,0.013756098,0.001406325,1,4,4,4-Apr,100,100,2.702,0.342,3,623.137,326.684,28.8454,29.0114,30.0002,28.9269,28.8955,19.7634,-30,-30,-999.9,400,0,102.931,104.292
54,BH1_C_34,1562787790,4747.1,20190710 15:43:10,15:43:10,1562787782,0.000283479,0.980053073,598.2977402,454.5146659,43.32413427,57.02947247,0.012598875,2.323285145,0.012561041,0.007854041,316.9677303,31.70004339,30.77800968,4.454590029,57.57077208,2.380536624,4.13497429,2.074053405,-12.50141768,-162.5096404,-15.5730433,126.3836289,0.018719458,-0.419796652,4.585178883,0,0,1,0,50088,1999.999355,1685.999093,0.842999818,0.187999941,9,0.5,0: Broadleaf,1562787782,598.2977419,600.0221935,24.97427419,24.55968387,600.0122258,95.28657097,0.032980881,29.48055806,30.77800968,999.9,9998.472258,748.7850323,3.827094194,1999.999355,0.900000065,0.099999729,30,41744.54516,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,1.053050427,-0.859074451,0.109626558,-1,600.0194634,0.052829268,0.053330583,1,598.2456585,0.977581882,0.100224287,1,24.56020976,-0.005853659,0.000966463,1,24.97492683,-0.010513589,0.001365788,1,4,4,4-Apr,100,100,2.702,0.342,3,623.184,327.128,28.8404,29.0139,30.0002,28.9293,28.8956,27.3393,-30,-30,-999.9,600,0,102.933,104.292
55,BH1_C_34,1562787860,4817.1,20190710 15:44:20,15:44:20,1562787852,0.000287758,1.537332886,797.3289005,579.4444053,55.23089987,75.99899536,0.012777123,2.323313568,0.012738214,0.00796487,316.9680392,31.70998158,30.78755161,4.457018121,57.54502707,2.381030851,4.137683084,2.07598727,-12.69012476,-162.2841502,-15.55285286,126.4409114,0.018719816,-0.419804672,4.58525052,0,0,1,0,50089,1999.999355,1685.999514,0.843000029,0.188000077,9,0.5,0: Broadleaf,1562787852,797.3289032,799.979,24.98012903,24.55928387,600.0133871,95.28455484,0.032440835,29.49191613,30.78755161,999.9,9998.874839,748.5013548,3.802315161,1999.999355,0.899999032,0.100000968,30,41744.57419,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,1.642035554,-1.229936684,0.150666516,-1,799.998439,-0.383456446,0.047846833,1,797.2691951,0.949839721,0.107367211,1,24.56036829,-0.022580488,0.002273113,1,24.98079756,-0.015633449,0.001620673,1,4,4,4-Apr,100,100,2.702,0.342,3,622.946,327.534,28.8404,29.0139,30,28.9293,28.8932,34.4812,-30,-30,-999.9,800,0,102.933,104.294
