obs,id,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
23,BH1_C_549,1562784971,1927.7,20190710 14:56:10,14:56:10,1562784963,0.000595497,1.743942758,397.0290614,298.381272,28.44765068,37.85272439,0.0318502,2.322724353,0.031609544,0.019777435,316.9671129,31.47438085,29.7108871,4.190208901,59.84617626,2.456695423,4.105016521,1.733513478,-26.26143277,-44.62654814,-4.252300461,241.8268316,0.018712403,-0.419638429,4.583765577,0,0,1,0,50092,1999.994516,1685.99531,0.842999966,0.187999997,9,0.5,0: Broadleaf,1562784963,397.0290645,399.9996452,25.76774839,24.8975129,599.9955806,95.30623226,0.033701439,29.35450968,29.7108871,999.9,9992.641935,750.3348065,5.227905161,1999.994516,0.899999903,0.100000055,31,41744.46774,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,1.723726525,0.279165889,0.036828395,-1,399.9948049,0.141726772,0.029751179,1,397.040122,-0.223761286,0.025436861,1,24.89762439,-0.004454602,0.000658076,1,25.75986585,0.175587374,0.01743871,1,4,4,4-Apr,100,100,2.702,0.342,3,625.345,329.105,28.719,29.0009,30.0002,28.9146,28.8821,19.7065,-30,-30,-999.9,400,0,102.936,104.267
24,BH1_C_549,1562785037,1994.2,20190710 14:57:17,14:57:17,1562785029,0.000726598,1.072092211,298.0466755,246.2703041,23.47926306,28.41559125,0.039558303,2.324376509,0.03918806,0.024525514,316.9669676,31.48336101,29.67367419,4.18124165,60.11509194,2.47523349,4.117490984,1.70600816,-32.04298317,-33.40569686,-3.181086005,248.3372016,0.018733192,-0.420104648,4.587929754,0,0,1,0,50075,1999.993548,1685.994539,0.842999989,0.187999997,9,0.5,0: Broadleaf,1562785029,298.0466774,299.9796129,25.96233548,24.90075806,600.0133871,95.30601935,0.033380752,29.40709355,29.67367419,999.9,10003.76613,749.9723226,5.29575,1999.993548,0.9,0.099999987,31,41744.44516,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,0.996363483,0.904813893,0.109790178,-1,299.9780488,0.048893366,0.015435074,1,298.1023415,-0.996776291,0.104762125,1,24.90014146,0.01124263,0.001218351,1,25.95341951,0.179065852,0.017674747,1,4,4,4-Apr,100,100,2.702,0.342,3,625.655,328.797,28.7423,29.0238,30.0002,28.9318,28.8984,15.7231,-30,-30,-999.9,300,0,102.933,104.264
25,BH1_C_549,1562785104,2061.2,20190710 14:58:24,14:58:24,1562785096,0.00084565,0.358589666,199.1987413,180.4767659,17.20670279,18.9916609,0.044771487,2.323077665,0.044297598,0.027728158,316.9671262,31.43719542,29.95718065,4.249982383,60.60932814,2.494293259,4.115361999,1.755689124,-37.29314768,-70.01660966,-6.680208342,202.9771605,0.018716848,-0.41973811,4.584655977,0,0,1,0,50067,1999.994516,1685.995375,0.842999999,0.187999997,9,0.5,0: Broadleaf,1562785096,199.1987419,199.9893226,26.1620129,24.92669677,599.9866129,95.30718065,0.033084945,29.39812903,29.95718065,999.9,9994.916129,750.0498387,5.400513548,1999.994516,0.900000032,0.099999968,31,41744.46129,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,0.279800024,0.942325236,0.119264697,-1,199.983,0.10816633,0.020537889,1,199.2492927,-0.857376628,0.093762347,1,24.92542439,0.029091934,0.002982696,1,26.15194634,0.193804529,0.019255903,1,4,4,4-Apr,100,100,2.702,0.342,3,625.62,328.491,28.7752,29.0437,30.0002,28.9466,28.9128,11.573,-30,-30,-999.9,200,0,102.93,104.262
26,BH1_C_549,1562785171,2128.2,20190710 14:59:31,14:59:31,1562785163,0.000951668,-0.378863376,100.4055813,108.8861366,10.38132961,9.572783711,0.053263922,2.324073531,0.052594937,0.032931241,316.9674911,31.41207647,29.66060968,4.178097443,61.04177715,2.513506141,4.117681789,1.664591302,-41.96858001,-31.66377749,-3.015419945,240.3197136,0.018729379,-0.420019134,4.587166019,0,0,1,0,50147,1999.997419,1685.997747,0.842999961,0.187999949,9,0.5,0: Broadleaf,1562785163,100.4055806,99.98062903,26.3632871,24.97346452,600.0200645,95.30754839,0.033602823,29.40789677,29.66060968,999.9,10001.56935,749.9995161,5.573793226,1999.997419,0.900000548,0.099999426,31,41744.52581,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,-0.464934299,1.015088984,0.126544244,-1,99.97654878,0.080361383,0.018944684,1,100.4626585,-0.954210227,0.101998711,1,24.97111463,0.047580975,0.004728356,1,26.35265122,0.209606385,0.02068255,1,4,4,4-Apr,100,100,2.702,0.342,3,625.152,328.305,28.7928,29.0529,30.0002,28.9565,28.9226,7.27419,-30,-30,-999.9,100,0,102.93,104.261
27,BH1_C_549,1562785235,2191.7,20190710 15:00:34,15:00:34,1562785227,0.001087045,-0.816773353,51.13107889,71.43176199,6.810434686,4.874930473,0.05984753,2.323277936,0.059004073,0.036952337,316.9674833,31.36373396,29.88068065,4.231337386,61.63616518,2.537182568,4.116386152,1.694154818,-47.93869489,-59.90062273,-5.712515014,203.4156507,0.018719368,-0.419794618,4.585160715,0,0,1,0,50004,1999.997097,1685.997529,0.842999988,0.187999969,9,0.5,0: Broadleaf,1562785227,51.13107742,49.98926129,26.61143226,25.02421613,599.984871,95.30845484,0.033372061,29.40244194,29.88068065,999.9,9996.128065,750.5891935,5.501454839,1999.997097,0.900000387,0.099999613,31,41744.52903,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,-0.88680562,0.855192687,0.103999694,-1,49.98657561,0.031442586,0.009286255,1,51.17763171,-0.891063111,0.090436609,1,25.02152439,0.051321404,0.005097909,1,26.60063659,0.205622699,0.020501407,1,4,4,4-Apr,100,100,2.702,0.342,3,625.985,328.107,28.8056,29.0612,30.0002,28.9688,28.9349,5.12166,-30,-30,-999.9,50,0,102.926,104.261
28,BH1_C_549,1562785306,2262.3,20190710 15:01:45,15:01:45,1562785298,0.001206087,3.062778847,394.6987364,312.2042992,29.76578801,37.63086846,0.068621332,2.322867379,0.067514715,0.042294635,316.9680969,31.36160757,29.75078065,4.199840723,61.98961559,2.557020424,4.124917375,1.6428203,-53.18843729,-39.12804465,-3.730425636,220.9211893,0.018714202,-0.41967878,4.584126015,0,0,1,0,49970,1999.999355,1685.999584,0.843000064,0.188000104,9,0.5,0: Broadleaf,1562785298,394.6987419,400.007,26.81980968,25.05919032,599.9968065,95.30713871,0.033598397,29.43833226,29.75078065,999.9,9993.507742,750.7675161,5.665213548,1999.999355,0.899998806,0.100001226,31,41744.54516,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,3.179979269,-1.36238596,0.181385318,-1,400.0234878,-0.199358885,0.034919505,1,394.6416098,0.914362369,0.109741799,1,25.05969268,-0.012073171,0.0013728,1,26.81205854,0.134765854,0.013980875,1,4,4,4-Apr,100,100,2.702,0.342,3,626.166,328.696,28.8282,29.0802,30.0002,28.9854,28.9506,19.7306,-30,-30,-999.9,400,0,102.926,104.26
29,BH1_C_549,1562785366,2322.8,20190710 15:02:46,15:02:46,1562785358,0.001260333,3.42650411,394.1253487,308.3496781,29.3973375,37.57498941,0.073254147,2.323492935,0.071994875,0.045108134,316.9684307,31.32305872,29.6288871,4.17047142,62.14602991,2.560417169,4.120001185,1.610054251,-55.58070115,-26.45942541,-2.520151694,232.4081524,0.018722073,-0.419855285,4.585702592,0,0,1,0,50016,2000.002903,1686.002486,0.843000019,0.187999978,9,0.5,0: Broadleaf,1562785358,394.1253548,400.0100323,26.85630323,25.01662903,600.0176129,95.3038,0.033862339,29.41765806,29.6288871,999.9,9998.060968,750.9804194,5.725760323,2000.002903,0.900000387,0.099999648,31,41744.68065,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,3.391403082,0.400579318,0.049060077,-1,400.0062683,0.008968641,0.021892224,1,394.1518293,-0.546376307,0.055913218,1,25.01822195,-0.03907108,0.003892426,1,26.85764146,-0.028749826,0.00290978,1,4,4,4-Apr,100,100,2.702,0.342,3,625.947,328.566,28.8315,29.0936,30.0001,28.9961,28.962,19.7282,-30,-30,-999.9,400,0,102.925,104.258
30,BH1_C_549,1562785433,2389.8,20190710 15:03:53,15:03:53,1562785425,0.001265642,6.075160023,589.7736665,441.8816696,42.12702203,56.22638356,0.073888207,2.32341179,0.072607203,0.045492745,316.9677644,31.28019847,29.59848065,4.163173181,62.28266798,2.559942817,4.110200959,1.603230364,-55.8147902,-27.82019634,-2.648910393,230.6838675,0.018721052,-0.419832387,4.585498074,0,0,1,0,50020,1999.999355,1685.999346,0.842999945,0.187999933,9,0.5,0: Broadleaf,1562785425,589.7736774,600.0059677,26.85192903,25.00446452,600.0066129,95.30180645,0.033720974,29.37638065,29.59848065,999.9,9997.724839,750.5623226,5.686658387,1999.999355,0.90000071,0.099999252,31,41744.56774,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,6.173142654,-1.181414664,0.150914343,-1,600.0142683,-0.185790941,0.024747529,1,589.7180488,0.901965157,0.102900841,1,25.00407073,0.009614634,0.001013866,1,26.85061951,0.020891289,0.002303255,1,4,4,4-Apr,100,100,2.702,0.342,3,626.128,328.875,28.8215,29.0985,30.0001,29.0035,28.9681,27.2925,-30,-30,-999.9,600,0,102.925,104.257
31,BH1_C_549,1562785501,2457.8,20190710 15:05:01,15:05:01,1562785493,0.001250731,8.225943884,786.2112755,585.3617104,55.80657473,74.95495097,0.073448849,2.323574021,0.07218298,0.045226279,316.9687577,31.25437621,29.55287742,4.152248241,62.35650662,2.558462764,4.102960385,1.593785477,-55.15724081,-25.93664556,-2.468462501,233.4064089,0.018723093,-0.419878166,4.585906964,0,0,1,0,50028,2000.004516,1686.003806,0.842999999,0.188000025,9,0.5,0: Broadleaf,1562785493,786.2112903,800.0248387,26.83601613,25.01031613,600.0163226,95.30262581,0.034280823,29.34582903,29.55287742,999.9,9998.729032,750.4715806,6.081346774,2000.004516,0.899999645,0.100000342,31,41744.65806,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,8.301655882,-0.884234159,0.116618964,-1,800.0331707,-0.163212544,0.041906343,1,786.1582927,0.818195122,0.09782569,1,25.01062927,-0.005232753,0.000724903,1,26.83882683,-0.051873868,0.005273728,1,4,4,4-Apr,100,100,2.702,0.342,3,626.123,329.15,28.8146,29.1035,30,29.0085,28.9744,34.4148,-30,-30,-999.9,800,0,102.922,104.256
32,BH1_C_549,1562785569,2525.8,20190710 15:06:09,15:06:09,1562785561,0.001224582,9.895532648,983.321208,736.3934603,70.20585016,93.74730373,0.071986126,2.324371175,0.070770134,0.044338875,316.968289,31.23012854,29.52649677,4.145939778,62.36863228,2.554222558,4.095364071,1.59171722,-54.00406897,-26.66264887,-2.5359523,233.7656188,0.018733125,-0.420103143,4.587916308,0,0,1,0,50077,2000.003226,1686.002407,0.842999844,0.187999903,9,0.5,0: Broadleaf,1562785561,983.3212258,999.9702258,26.79139677,25.00379355,600.0192903,95.30347742,0.033939255,29.31372581,29.52649677,999.9,10003.9971,750.2549032,6.313792258,2000.003226,0.90000071,0.099999135,31,41744.64516,1562780776,13:46:16,1,2.702,0.342,400,24,0.28,0.1,9.989861148,-1.099056945,0.146450051,-1,999.9791707,-0.072146341,0.046124382,1,983.2660244,0.938571429,0.102924194,1,25.00344634,0.008314286,0.000908254,1,26.79288293,-0.026289199,0.002678087,1,4,4,4-Apr,100,100,2.702,0.342,3,626.238,329.429,28.7956,29.1035,30.0002,29.0135,28.9793,41.2139,-30,-30,-999.9,1000,0,102.92,104.255
