obs,id,time,elapsed,date,hhmmss,rep name,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,MP1_AS_1002,1561992502,0,20190701 10:48:21,10:48:21,,1561992494,0.001059321,5.739439767,390.7530545,268.2200016,25.94373853,37.79582065,0.080804234,2.342610232,0.079287155,0.049688403,316.9680644,24.27034107,23.12932258,2.841868442,58.420197,1.579093657,2.702992695,1.262774784,-46.71604556,-104.3195071,-9.204568543,156.7279432,0.018963328,-0.425265595,4.633971017,2,0,1,0,51719,2000.000323,1686.000047,0.842999888,0.188000033,9,0.5,0: Broadleaf,1561992494,390.7530645,399.981,16.3255,14.76281935,600.1380645,96.5256,0.199992323,22.30332258,23.12932258,999.9,9998.713226,701.4583548,1.413489677,2000.000323,0.899999065,0.100000774,24,41744.54839,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,5.711780309,0.422907461,0.053239035,-1,399.9883659,-0.083958188,0.021522259,1,390.7826098,-0.787066202,0.080101727,1,14.75993659,0.069144251,0.006832767,1,16.31642195,0.226135192,0.022337189,1,4,4,4-Apr,100,100,2.501,-0.009,3,605.231,368.495,21.799,22.5521,30.0003,22.4967,22.4694,19.5482,-30,-30,-999.9,400,0,103.851,105.537
2,MP1_AS_1002,1561992571,69,20190701 10:49:30,10:49:30,,1561992563,0.001150766,4.224897729,293.1273152,210.3309346,20.34391452,28.35225858,0.088813285,2.342471694,0.086984129,0.054526285,316.9671681,24.31146599,23.18432581,2.851333865,58.98362314,1.601174088,2.71460789,1.250159777,-50.74878204,-102.3575137,-9.03773731,154.823135,0.018961575,-0.425226274,4.633620616,2,0,1,0,51793,1999.994839,1685.995749,0.84300005,0.187999981,9,0.5,0: Broadleaf,1561992563,293.1273226,299.9690645,16.55416129,14.85698065,600.1390968,96.52335161,0.200007516,22.3738129,23.18432581,999.9,9998.021613,701.4476774,2.686845806,1999.994839,0.900000484,0.09999959,24,41744.49355,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,4.147662954,0.94679838,0.116156413,-1,299.9692683,0.062278746,0.024708075,1,293.183878,-0.979881533,0.102777333,1,14.8525439,0.089266202,0.008818358,1,16.54543171,0.174723345,0.017234246,1,4,4,4-Apr,100,100,2.501,-0.009,3,605.652,367.901,21.8445,22.5886,30.0002,22.5331,22.5065,15.6451,-30,-30,-999.9,300,0,103.853,105.537
3,MP1_AS_1002,1561992640,138,20190701 10:50:39,10:50:39,,1561992632,0.001205009,2.491658225,195.8861892,148.9706832,14.40885228,18.94664846,0.093811962,2.343054724,0.091774152,0.057538247,316.9678577,24.3394455,23.22639032,2.858591283,59.43720386,1.617996049,2.722194087,1.240595233,-53.14088304,-101.8989039,-8.99901813,152.9290527,0.018968954,-0.425391765,4.635095323,2,0,1,0,51911,2000.000645,1686.000471,0.842999964,0.187999863,9,0.5,0: Broadleaf,1561992632,195.8861935,199.9768065,16.7281871,14.95131935,600.1380645,96.52275484,0.199982645,22.41970968,23.22639032,999.9,10001.97452,701.7875161,2.635237097,2000.000645,0.900001774,0.099998245,24,41744.63548,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,2.420296977,0.901812211,0.109206869,-1,199.979878,0.008299652,0.01901629,1,195.9403659,-0.98184669,0.101554685,1,14.94754878,0.075746341,0.007483449,1,16.72201463,0.121626481,0.012005681,1,4,4,4-Apr,100,100,2.501,-0.009,3,605.739,367.343,21.8962,22.6267,30.0002,22.5714,22.5451,11.5728,-30,-30,-999.9,200,0,103.849,105.532
4,MP1_AS_1002,1561992709,207,20190701 10:51:48,10:51:48,,1561992701,0.00123891,0.586700172,98.91640221,87.07839037,8.42242861,9.567429214,0.096729478,2.343182209,0.094564637,0.059293365,316.9675954,24.37216219,23.28099677,2.868036668,59.73101203,1.630324873,2.729444585,1.237711794,-54.63592331,-103.2744701,-9.124552681,149.9326493,0.018970568,-0.425427955,4.635417805,1,0,1,0,51827,1999.997742,1685.998096,0.843,0.187999972,9,0.5,0: Broadleaf,1561992701,98.91640323,99.98002903,16.85571613,15.0291,600.1394516,96.5223871,0.199986548,22.46347097,23.28099677,999.9,10002.86355,702.1535484,2.543287742,1999.997742,0.900000387,0.099999626,24,41744.53871,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,0.511955979,0.880295696,0.1061637,-1,99.97768537,0.047878746,0.016459774,1,98.9702878,-0.953377003,0.097762126,1,15.02609268,0.060223693,0.005948043,1,16.85106585,0.09155331,0.009036528,1,4,4,4-Apr,100,100,2.501,-0.009,3,605.795,366.714,21.9394,22.6586,30.0001,22.6041,22.5772,7.3493,-30,-30,-999.9,100,0,103.844,105.528
5,MP1_AS_1002,1561992772,270,20190701 10:52:51,10:52:51,,1561992764,0.00125059,-0.452576664,50.57640078,56.95472309,5.509062675,4.892106338,0.09859377,2.342994954,0.096345548,0.060413692,316.9685095,24.37217796,23.25949677,2.864314517,59.99874721,1.637993123,2.730045542,1.226321394,-55.15101382,-100.0928445,-8.843352458,152.8812988,0.018968198,-0.425374798,4.634944135,1,0,1,0,51927,2000.003871,1686.003211,0.842999974,0.187999944,9,0.5,0: Broadleaf,1561992764,50.5764,49.99254194,16.93417742,15.09047419,600.1350645,96.52706774,0.199988,22.46709355,23.25949677,999.9,10001.12871,702.5087419,2.546711935,2000.003871,0.900000677,0.099999316,24,41744.65484,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,-0.535258423,0.9916554,0.123875218,-1,49.98925122,0.043467596,0.010854001,1,50.62821463,-0.947755401,0.098972042,1,15.08717073,0.064151916,0.006335277,1,16.93126829,0.059508711,0.005911437,1,4,4,4-Apr,100,100,2.501,-0.009,3,605.997,366.285,21.9712,22.6829,30.0002,22.6302,22.6035,5.23178,-30,-30,-999.9,50,0,103.842,105.529
6,MP1_AS_1002,1561992848,346,20190701 10:54:07,10:54:07,,1561992840,0.001256201,6.587133481,389.3954724,274.8630846,26.58713531,37.66569865,0.099829204,2.34374737,0.097525717,0.061156105,316.9678964,24.37802415,23.26002903,2.864406613,60.31793436,1.647530432,2.731410565,1.216876181,-55.39848461,-99.15286092,-8.757879729,153.6586711,0.018977723,-0.425588409,4.636847501,1,0,1,0,51776,1999.998387,1685.998749,0.843000054,0.188000078,9,0.5,0: Broadleaf,1561992840,389.3954839,400.0074194,17.03249677,15.18072581,600.1415484,96.52865806,0.199992677,22.47531935,23.26002903,999.9,10005.98613,702.741871,3.570092581,1999.998387,0.899999129,0.100000903,24,41744.56452,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,6.661683532,-0.926035901,0.114332657,-1,400.0065854,-0.09758885,0.028933039,1,389.3426829,0.873428571,0.095446432,1,15.1775,0.063700348,0.006296805,1,17.02846098,0.082043206,0.008110273,1,4,4,4-Apr,100,100,2.501,-0.009,3,606.268,366.749,21.9948,22.7058,30.0002,22.6573,22.6305,19.6045,-30,-30,-999.9,400,0,103.838,105.524
7,MP1_AS_1002,1561992908,406.5,20190701 10:55:08,10:55:08,,1561992900,0.001261683,6.618370061,389.3403111,276.0354822,26.7019016,37.66228382,0.101431347,2.341496408,0.099052051,0.062116654,316.9681115,24.35721148,23.22550645,2.858438622,60.66911077,1.655032369,2.727965431,1.203406253,-55.6402311,-97.32129466,-8.601954407,155.4046313,0.018949233,-0.424949508,4.631154097,1,0,1,0,51830,2000.000645,1686.000538,0.842999997,0.188000006,9,0.5,0: Broadleaf,1561992900,389.3403226,400.0022903,17.10918065,15.24945806,600.1363871,96.53358387,0.200000484,22.45455161,23.22550645,999.9,9990.455161,702.9489032,2.567664194,2000.000645,0.899999903,0.10000009,24,41744.59355,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,6.61201498,0.116274612,0.024711012,-1,400.0031951,0.048648084,0.029585939,1,389.3479268,-0.144439024,0.017632274,1,15.24658537,0.067222997,0.006645907,1,17.1059561,0.079455052,0.007854222,1,4,4,4-Apr,100,100,2.501,-0.009,3,606.124,366.533,22.0029,22.7235,30.0001,22.6782,22.6515,19.6038,-30,-30,-999.9,400,0,103.831,105.518
8,MP1_AS_1002,1561992985,483.5,20190701 10:56:25,10:56:25,,1561992977,0.001272403,9.694825566,584.3469832,419.2060366,40.55277322,56.52802827,0.102189884,2.342914224,0.099776749,0.062572533,316.9680516,24.40258989,23.29214839,2.869968937,60.85854472,1.665247292,2.736258811,1.204721645,-56.11295065,-99.48799148,-8.793338306,152.5737712,0.018967176,-0.425351882,4.634739932,1,0,1,0,51913,1999.999032,1685.99936,0.843000088,0.188000102,9,0.5,0: Broadleaf,1561992977,584.347,600.0009677,17.21415484,15.33883226,600.1363548,96.5371,0.199992677,22.50450645,23.29214839,999.9,9999.550645,703.0367742,2.53755,1999.999032,0.899998935,0.100001129,24,41744.53226,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,9.754331394,-0.67155796,0.079725327,-1,599.9952683,0.069993031,0.027096957,1,584.2924634,0.923937282,0.096959156,1,15.3350439,0.075819512,0.00749631,1,17.21057073,0.071910105,0.007099785,1,4,4,4-Apr,100,100,2.501,-0.009,3,606.296,366.465,22.0244,22.7486,30.0003,22.7065,22.6814,27.0636,-30,-30,-999.9,600,0,103.827,105.512
9,MP1_AS_1002,1561993059,557.5,20190701 10:57:39,10:57:39,,1561993051,0.001243258,11.24832673,781.6523675,582.7288909,56.37180896,75.61519366,0.09925333,2.342527282,0.096974859,0.060809642,316.967234,24.45840815,23.35689355,2.881210016,60.86716406,1.670169168,2.743957589,1.211040849,-54.82765832,-101.8067096,-9.004832512,151.3280336,0.018962278,-0.425242051,4.633761213,1,0,1,0,51779,1999.995161,1685.995862,0.84299997,0.188000007,9,0.5,0: Broadleaf,1561993051,781.6523871,799.9784516,17.26493871,15.43266129,600.1348387,96.53762581,0.199999258,22.55076129,23.35689355,999.9,9996.914194,702.9408387,2.709579032,1999.995161,0.899999774,0.100000184,24,41744.48387,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,11.33836261,-1.028226287,0.135256085,-1,799.9878049,-0.229651568,0.047448159,1,781.5938537,0.836006969,0.108627482,1,15.4290122,0.068404181,0.006840596,1,17.26386098,0.020615331,0.002179492,1,4,4,4-Apr,100,100,2.501,-0.009,3,606.148,366.537,22.0545,22.7835,30.0003,22.7412,22.7169,34.1151,-30,-30,-999.9,800,0,103.821,105.504
10,MP1_AS_1002,1561993131,629.5,20190701 10:58:51,10:58:51,,1561993123,0.001158707,12.12035246,980.118979,746.1181197,72.17816824,94.81500408,0.091374329,2.34259148,0.089439495,0.056070109,316.9672019,24.52952357,23.41375484,2.891114037,60.6029568,1.667378455,2.751315354,1.223735581,-51.09896578,-103.4211714,-9.152063553,153.2950013,0.018963091,-0.425260272,4.633923587,1,0,1,0,51856,1999.995161,1685.995885,0.842999982,0.187999985,9,0.5,0: Broadleaf,1561993123,980.119,999.9984194,17.23597742,15.52827097,600.1392903,96.53825161,0.200007839,22.59486129,23.41375484,999.9,9997.277742,703.2425806,2.713849677,1999.995161,0.900000129,0.099999855,24,41744.4871,1561991712,10:35:12,1,2.501,-0.009,400,14,0.38,0.13,12.1902152,-0.942304284,0.120709868,-1,999.996122,-0.165735548,0.055512334,1,980.0647073,0.886875812,0.100674129,1,15.52437561,0.074986018,0.007412309,1,17.23798293,-0.037578929,0.003758821,1,4,4,4-Apr,100,100,2.501,-0.009,3,606.261,366.436,22.0889,22.8252,30.0003,22.7804,22.7563,40.8638,-30,-30,-999.9,1000,0,103.816,105.5
